iteration,start_time,end_time,duration
1,2025-05-01T11:26:04.973266,2025-05-01T11:26:33.821052,28.85
2,2025-05-01T11:26:36.821307,2025-05-01T11:27:05.745757,28.92
3,2025-05-01T11:27:08.746341,2025-05-01T11:27:36.052215,27.31
4,2025-05-01T11:27:39.055284,2025-05-01T11:28:07.713050,28.66
5,2025-05-01T11:28:10.713408,2025-05-01T11:28:41.376945,30.66
6,2025-05-01T11:28:44.377423,2025-05-01T11:29:17.816898,33.44
7,2025-05-01T11:29:20.817748,2025-05-01T11:29:52.746223,31.93
8,2025-05-01T11:29:55.748486,2025-05-01T11:30:25.598841,29.85
9,2025-05-01T11:30:28.599040,2025-05-01T11:30:57.652391,29.05
10,2025-05-01T11:31:00.653225,2025-05-01T11:31:28.708213,28.05
11,2025-05-01T11:31:31.710190,2025-05-01T11:31:59.347881,27.64
12,2025-05-01T11:32:02.350244,2025-05-01T11:32:30.263050,27.91
13,2025-05-01T11:32:33.266340,2025-05-01T11:32:55.845780,22.58
14,2025-05-01T11:32:58.848045,2025-05-01T11:33:23.954527,25.11
15,2025-05-01T11:33:26.957035,2025-05-01T11:33:53.447281,26.49
16,2025-05-01T11:33:56.450276,2025-05-01T11:34:22.728464,26.28
17,2025-05-01T11:34:25.730893,2025-05-01T11:34:52.070038,26.34
18,2025-05-01T11:34:55.070238,2025-05-01T11:35:21.562714,26.49
19,2025-05-01T11:35:24.562991,2025-05-01T11:35:52.044259,27.48
20,2025-05-01T11:35:55.046582,2025-05-01T11:36:20.031414,24.98
