ID,Interval,Transfer,Bitrate,Retr,Cwnd
7,0.00-1.00,4.26 MBytes,35.7 Mbits/sec,2,140 KBytes
9,0.00-1.00,3.24 MBytes,27.2 Mbits/sec,66,130 KBytes
11,0.00-1.00,2.11 MBytes,17.7 Mbits/sec,12,82.0 KBytes
13,0.00-1.00,2.30 MBytes,19.3 Mbits/sec,22,56.6 KBytes
7,1.00-2.00,1.49 MBytes,12.5 Mbits/sec,23,48.1 KBytes
9,1.00-2.00,1.86 MBytes,15.6 Mbits/sec,6,33.9 KBytes
11,1.00-2.00,1.12 MBytes,9.38 Mbits/sec,5,31.1 KBytes
13,1.00-2.00,1.30 MBytes,10.9 Mbits/sec,0,49.5 KBytes
7,2.00-3.00,1.49 MBytes,12.5 Mbits/sec,0,76.4 KBytes
11,2.00-3.00,764 KBytes,6.25 Mbits/sec,10,36.8 KBytes
13,2.00-3.00,891 KBytes,7.30 Mbits/sec,4,33.9 KBytes
7,3.00-4.00,764 KBytes,6.26 Mbits/sec,14,35.4 KBytes
9,3.00-4.00,636 KBytes,5.21 Mbits/sec,12,26.9 KBytes
11,3.00-4.00,382 KBytes,3.13 Mbits/sec,7,31.1 KBytes
13,3.00-4.00,445 KBytes,3.65 Mbits/sec,2,36.8 KBytes
7,4.00-5.00,764 KBytes,6.26 Mbits/sec,11,25.5 KBytes
9,4.00-5.00,636 KBytes,5.21 Mbits/sec,8,33.9 KBytes
11,4.00-5.00,764 KBytes,6.26 Mbits/sec,9,26.9 KBytes
13,4.00-5.00,891 KBytes,7.30 Mbits/sec,6,21.2 KBytes
7,5.00-6.00,764 KBytes,6.25 Mbits/sec,8,21.2 KBytes
9,5.00-6.00,636 KBytes,5.21 Mbits/sec,4,15.6 KBytes
11,5.00-6.00,764 KBytes,6.25 Mbits/sec,2,22.6 KBytes
13,5.00-6.00,509 KBytes,4.17 Mbits/sec,1,25.5 KBytes
7,6.00-7.00,764 KBytes,6.26 Mbits/sec,0,52.3 KBytes
9,6.00-7.00,636 KBytes,5.21 Mbits/sec,0,39.6 KBytes
11,6.00-7.00,382 KBytes,3.13 Mbits/sec,10,41.0 KBytes
13,6.00-7.00,445 KBytes,3.65 Mbits/sec,2,41.0 KBytes
7,7.00-8.00,764 KBytes,6.26 Mbits/sec,9,21.2 KBytes
9,7.00-8.00,636 KBytes,5.21 Mbits/sec,10,28.3 KBytes
11,7.00-8.00,764 KBytes,6.26 Mbits/sec,4,11.3 KBytes
13,7.00-8.00,891 KBytes,7.30 Mbits/sec,16,26.9 KBytes
7,8.00-9.00,764 KBytes,6.26 Mbits/sec,0,33.9 KBytes
9,8.00-9.00,636 KBytes,5.21 Mbits/sec,12,33.9 KBytes
11,8.00-9.00,382 KBytes,3.13 Mbits/sec,3,22.6 KBytes
13,8.00-9.00,445 KBytes,3.65 Mbits/sec,14,24.0 KBytes
7,9.00-10.00,764 KBytes,6.26 Mbits/sec,3,39.6 KBytes
9,9.00-10.00,636 KBytes,5.21 Mbits/sec,2,39.6 KBytes
11,9.00-10.00,764 KBytes,6.26 Mbits/sec,0,41.0 KBytes
13,9.00-10.00,891 KBytes,7.30 Mbits/sec,2,28.3 KBytes
7,10.00-11.00,764 KBytes,6.26 Mbits/sec,16,12.7 KBytes
9,10.00-11.00,1.24 MBytes,10.4 Mbits/sec,17,19.8 KBytes
11,10.00-11.00,764 KBytes,6.26 Mbits/sec,17,21.2 KBytes
13,10.00-11.00,445 KBytes,3.65 Mbits/sec,8,18.4 KBytes
7,11.00-12.00,764 KBytes,6.26 Mbits/sec,10,14.1 KBytes
9,11.00-12.00,636 KBytes,5.21 Mbits/sec,2,15.6 KBytes
11,11.00-12.00,764 KBytes,6.26 Mbits/sec,9,15.6 KBytes
13,11.00-12.00,445 KBytes,3.65 Mbits/sec,9,12.7 KBytes
7,12.00-13.00,764 KBytes,6.26 Mbits/sec,4,29.7 KBytes
9,12.00-13.00,636 KBytes,5.21 Mbits/sec,9,32.5 KBytes
11,12.00-13.00,382 KBytes,3.13 Mbits/sec,1,31.1 KBytes
13,12.00-13.00,445 KBytes,3.65 Mbits/sec,13,28.3 KBytes
9,13.00-14.00,636 KBytes,5.21 Mbits/sec,4,33.9 KBytes
11,13.00-14.00,382 KBytes,3.13 Mbits/sec,11,25.5 KBytes
13,13.00-14.00,891 KBytes,7.30 Mbits/sec,6,33.9 KBytes
7,14.00-15.00,764 KBytes,6.26 Mbits/sec,23,14.1 KBytes
9,14.00-15.00,636 KBytes,5.21 Mbits/sec,14,14.1 KBytes
11,14.00-15.00,382 KBytes,3.13 Mbits/sec,17,12.7 KBytes
13,14.00-15.00,445 KBytes,3.65 Mbits/sec,21,8.48 KBytes
7,15.00-16.00,764 KBytes,6.26 Mbits/sec,5,17.0 KBytes
11,15.00-16.00,764 KBytes,6.26 Mbits/sec,0,36.8 KBytes
13,15.00-16.00,509 KBytes,4.17 Mbits/sec,9,11.3 KBytes
7,16.00-17.00,764 KBytes,6.26 Mbits/sec,0,39.6 KBytes
9,16.00-17.00,636 KBytes,5.21 Mbits/sec,0,41.0 KBytes
11,16.00-17.00,764 KBytes,6.26 Mbits/sec,2,21.2 KBytes
13,16.00-17.00,445 KBytes,3.65 Mbits/sec,0,31.1 KBytes
9,17.00-18.00,636 KBytes,5.21 Mbits/sec,0,59.4 KBytes
11,17.00-18.00,382 KBytes,3.13 Mbits/sec,0,41.0 KBytes
13,17.00-18.00,445 KBytes,3.65 Mbits/sec,0,48.1 KBytes
7,18.00-19.00,764 KBytes,6.26 Mbits/sec,15,43.8 KBytes
9,18.00-19.00,636 KBytes,5.21 Mbits/sec,15,41.0 KBytes
11,18.00-19.00,382 KBytes,3.13 Mbits/sec,8,33.9 KBytes
13,18.00-19.00,445 KBytes,3.65 Mbits/sec,14,36.8 KBytes
7,19.00-20.00,764 KBytes,6.26 Mbits/sec,12,9.90 KBytes
9,19.00-20.00,636 KBytes,5.21 Mbits/sec,23,7.07 KBytes
11,19.00-20.00,764 KBytes,6.26 Mbits/sec,17,17.0 KBytes
13,19.00-20.00,891 KBytes,7.30 Mbits/sec,8,22.6 KBytes
7,20.00-21.00,764 KBytes,6.25 Mbits/sec,3,32.5 KBytes
9,20.00-21.00,636 KBytes,5.21 Mbits/sec,3,39.6 KBytes
11,20.00-21.00,382 KBytes,3.13 Mbits/sec,14,26.9 KBytes
13,20.00-21.00,445 KBytes,3.65 Mbits/sec,8,36.8 KBytes
9,21.00-22.00,636 KBytes,5.21 Mbits/sec,0,52.3 KBytes
11,21.00-22.00,382 KBytes,3.13 Mbits/sec,0,42.4 KBytes
13,21.00-22.00,891 KBytes,7.30 Mbits/sec,0,41.0 KBytes
7,22.00-23.00,764 KBytes,6.26 Mbits/sec,1,18.4 KBytes
9,22.00-23.00,1.24 MBytes,10.4 Mbits/sec,10,28.3 KBytes
11,22.00-23.00,764 KBytes,6.26 Mbits/sec,0,42.4 KBytes
13,22.00-23.00,445 KBytes,3.65 Mbits/sec,4,12.7 KBytes
7,23.00-24.00,764 KBytes,6.26 Mbits/sec,15,11.3 KBytes
9,23.00-24.00,636 KBytes,5.21 Mbits/sec,1,26.9 KBytes
11,23.00-24.00,764 KBytes,6.26 Mbits/sec,17,31.1 KBytes
13,23.00-24.00,445 KBytes,3.65 Mbits/sec,10,9.90 KBytes
9,24.00-25.00,636 KBytes,5.21 Mbits/sec,4,24.0 KBytes
11,24.00-25.00,764 KBytes,6.26 Mbits/sec,4,22.6 KBytes
13,24.00-25.00,445 KBytes,3.65 Mbits/sec,9,7.07 KBytes
7,25.00-26.00,764 KBytes,6.26 Mbits/sec,0,42.4 KBytes
9,25.00-26.00,636 KBytes,5.21 Mbits/sec,0,48.1 KBytes
11,25.00-26.00,764 KBytes,6.26 Mbits/sec,0,43.8 KBytes
7,26.00-27.00,764 KBytes,6.26 Mbits/sec,21,22.6 KBytes
9,26.00-27.00,636 KBytes,5.21 Mbits/sec,8,33.9 KBytes
11,26.00-27.00,382 KBytes,3.13 Mbits/sec,9,25.5 KBytes
13,26.00-27.00,445 KBytes,3.65 Mbits/sec,17,9.90 KBytes
9,27.00-28.00,636 KBytes,5.21 Mbits/sec,7,21.2 KBytes
11,27.00-28.00,764 KBytes,6.25 Mbits/sec,0,39.6 KBytes
13,27.00-28.00,445 KBytes,3.65 Mbits/sec,0,25.5 KBytes
7,28.00-29.00,764 KBytes,6.25 Mbits/sec,17,26.9 KBytes
11,28.00-29.00,764 KBytes,6.25 Mbits/sec,14,25.5 KBytes
