ID,Interval,Transfer,Bitrate,Retr,Cwnd
7,0.00-1.00,1.69 MBytes,14.2 Mbits/sec,0,49.5 KBytes
9,0.00-1.00,1.09 MBytes,9.15 Mbits/sec,0,43.8 KBytes
11,0.00-1.00,1.40 MBytes,11.8 Mbits/sec,27,35.4 KBytes
13,0.00-1.00,723 KBytes,5.92 Mbits/sec,14,17.0 KBytes
7,1.00-2.00,636 KBytes,5.21 Mbits/sec,2,19.8 KBytes
9,1.00-2.00,1.12 MBytes,9.38 Mbits/sec,14,33.9 KBytes
11,1.00-2.00,573 KBytes,4.69 Mbits/sec,7,21.2 KBytes
13,1.00-2.00,382 KBytes,3.13 Mbits/sec,4,15.6 KBytes
7,2.00-3.00,764 KBytes,6.26 Mbits/sec,3,22.6 KBytes
9,2.00-3.00,764 KBytes,6.26 Mbits/sec,7,22.6 KBytes
11,2.00-3.00,573 KBytes,4.69 Mbits/sec,0,22.6 KBytes
13,2.00-3.00,636 KBytes,5.21 Mbits/sec,0,22.6 KBytes
7,3.00-4.00,573 KBytes,4.69 Mbits/sec,2,22.6 KBytes
9,3.00-4.00,636 KBytes,5.21 Mbits/sec,12,19.8 KBytes
11,3.00-4.00,764 KBytes,6.25 Mbits/sec,18,19.8 KBytes
13,3.00-4.00,509 KBytes,4.17 Mbits/sec,1,15.6 KBytes
7,4.00-5.00,764 KBytes,6.26 Mbits/sec,10,4.24 KBytes
9,4.00-5.00,764 KBytes,6.26 Mbits/sec,3,7.07 KBytes
11,4.00-5.00,764 KBytes,6.26 Mbits/sec,0,9.90 KBytes
13,4.00-5.00,509 KBytes,4.17 Mbits/sec,16,7.07 KBytes
7,5.00-6.00,573 KBytes,4.69 Mbits/sec,0,12.7 KBytes
9,5.00-6.00,764 KBytes,6.25 Mbits/sec,2,22.6 KBytes
11,5.00-6.00,764 KBytes,6.25 Mbits/sec,0,12.7 KBytes
13,5.00-6.00,509 KBytes,4.17 Mbits/sec,0,12.7 KBytes
7,6.00-7.00,764 KBytes,6.26 Mbits/sec,0,11.3 KBytes
9,6.00-7.00,636 KBytes,5.21 Mbits/sec,10,9.90 KBytes
11,6.00-7.00,954 KBytes,7.82 Mbits/sec,12,14.1 KBytes
13,6.00-7.00,891 KBytes,7.30 Mbits/sec,4,19.8 KBytes
7,7.00-8.00,382 KBytes,3.13 Mbits/sec,0,26.9 KBytes
9,7.00-8.00,509 KBytes,4.17 Mbits/sec,0,26.9 KBytes
11,7.00-8.00,573 KBytes,4.69 Mbits/sec,0,29.7 KBytes
13,7.00-8.00,764 KBytes,6.26 Mbits/sec,0,32.5 KBytes
7,8.00-9.00,764 KBytes,6.25 Mbits/sec,7,14.1 KBytes
9,8.00-9.00,509 KBytes,4.17 Mbits/sec,4,14.1 KBytes
11,8.00-9.00,573 KBytes,4.69 Mbits/sec,2,11.3 KBytes
13,8.00-9.00,636 KBytes,5.21 Mbits/sec,5,14.1 KBytes
7,9.00-10.00,573 KBytes,4.69 Mbits/sec,0,14.1 KBytes
9,9.00-10.00,509 KBytes,4.17 Mbits/sec,0,14.1 KBytes
11,9.00-10.00,573 KBytes,4.69 Mbits/sec,0,17.0 KBytes
13,9.00-10.00,636 KBytes,5.21 Mbits/sec,0,17.0 KBytes
7,10.00-11.00,573 KBytes,4.69 Mbits/sec,0,17.0 KBytes
9,10.00-11.00,764 KBytes,6.26 Mbits/sec,0,14.1 KBytes
11,10.00-11.00,382 KBytes,3.13 Mbits/sec,0,7.07 KBytes
13,10.00-11.00,509 KBytes,4.17 Mbits/sec,0,8.48 KBytes
7,11.00-12.00,764 KBytes,6.26 Mbits/sec,11,12.7 KBytes
9,11.00-12.00,509 KBytes,4.17 Mbits/sec,0,12.7 KBytes
11,11.00-12.00,573 KBytes,4.69 Mbits/sec,5,12.7 KBytes
13,11.00-12.00,509 KBytes,4.17 Mbits/sec,8,21.2 KBytes
7,12.00-13.00,382 KBytes,3.13 Mbits/sec,3,18.4 KBytes
9,12.00-13.00,509 KBytes,4.17 Mbits/sec,0,14.1 KBytes
11,12.00-13.00,382 KBytes,3.13 Mbits/sec,0,17.0 KBytes
13,12.00-13.00,764 KBytes,6.26 Mbits/sec,0,22.6 KBytes
7,13.00-14.00,573 KBytes,4.69 Mbits/sec,0,33.9 KBytes
9,13.00-14.00,382 KBytes,3.13 Mbits/sec,0,18.4 KBytes
11,13.00-14.00,573 KBytes,4.69 Mbits/sec,0,33.9 KBytes
13,13.00-14.00,636 KBytes,5.21 Mbits/sec,0,39.6 KBytes
7,14.00-15.00,573 KBytes,4.69 Mbits/sec,0,33.9 KBytes
9,14.00-15.00,382 KBytes,3.13 Mbits/sec,0,31.1 KBytes
11,14.00-15.00,573 KBytes,4.69 Mbits/sec,0,46.7 KBytes
13,14.00-15.00,764 KBytes,6.26 Mbits/sec,0,52.3 KBytes
7,15.00-16.00,573 KBytes,4.69 Mbits/sec,3,9.90 KBytes
9,15.00-16.00,509 KBytes,4.17 Mbits/sec,0,9.90 KBytes
11,15.00-16.00,764 KBytes,6.26 Mbits/sec,2,14.1 KBytes
13,15.00-16.00,891 KBytes,7.30 Mbits/sec,0,9.90 KBytes
7,16.00-17.00,573 KBytes,4.69 Mbits/sec,2,9.90 KBytes
9,16.00-17.00,509 KBytes,4.17 Mbits/sec,0,9.90 KBytes
11,16.00-17.00,764 KBytes,6.25 Mbits/sec,2,8.48 KBytes
13,16.00-17.00,509 KBytes,4.17 Mbits/sec,0,8.48 KBytes
7,17.00-18.00,382 KBytes,3.13 Mbits/sec,0,21.2 KBytes
9,17.00-18.00,509 KBytes,4.17 Mbits/sec,0,22.6 KBytes
11,17.00-18.00,573 KBytes,4.69 Mbits/sec,0,26.9 KBytes
13,17.00-18.00,509 KBytes,4.17 Mbits/sec,0,19.8 KBytes
7,18.00-19.00,573 KBytes,4.69 Mbits/sec,0,17.0 KBytes
9,18.00-19.00,509 KBytes,4.17 Mbits/sec,0,17.0 KBytes
11,18.00-19.00,573 KBytes,4.69 Mbits/sec,0,18.4 KBytes
13,18.00-19.00,509 KBytes,4.17 Mbits/sec,0,17.0 KBytes
7,19.00-20.00,382 KBytes,3.13 Mbits/sec,0,19.8 KBytes
9,19.00-20.00,509 KBytes,4.17 Mbits/sec,0,31.1 KBytes
11,19.00-20.00,382 KBytes,3.13 Mbits/sec,0,22.6 KBytes
13,19.00-20.00,382 KBytes,3.13 Mbits/sec,0,19.8 KBytes
7,20.00-21.00,573 KBytes,4.69 Mbits/sec,0,31.1 KBytes
9,20.00-21.00,764 KBytes,6.25 Mbits/sec,0,41.0 KBytes
11,20.00-21.00,382 KBytes,3.13 Mbits/sec,0,24.0 KBytes
13,20.00-21.00,255 KBytes,2.08 Mbits/sec,0,17.0 KBytes
7,21.00-22.00,573 KBytes,4.69 Mbits/sec,0,14.1 KBytes
9,21.00-22.00,891 KBytes,7.30 Mbits/sec,0,17.0 KBytes
11,21.00-22.00,573 KBytes,4.69 Mbits/sec,1,15.6 KBytes
13,21.00-22.00,509 KBytes,4.17 Mbits/sec,0,14.1 KBytes
7,22.00-23.00,382 KBytes,3.13 Mbits/sec,0,21.2 KBytes
9,22.00-23.00,382 KBytes,3.13 Mbits/sec,0,11.3 KBytes
11,22.00-23.00,382 KBytes,3.13 Mbits/sec,0,15.6 KBytes
13,22.00-23.00,382 KBytes,3.13 Mbits/sec,0,19.8 KBytes
7,23.00-24.00,382 KBytes,3.13 Mbits/sec,0,14.1 KBytes
9,23.00-24.00,382 KBytes,3.13 Mbits/sec,2,14.1 KBytes
11,23.00-24.00,382 KBytes,3.13 Mbits/sec,0,11.3 KBytes
13,23.00-24.00,382 KBytes,3.13 Mbits/sec,3,12.7 KBytes
7,24.00-25.00,573 KBytes,4.69 Mbits/sec,7,17.0 KBytes
9,24.00-25.00,382 KBytes,3.13 Mbits/sec,5,18.4 KBytes
11,24.00-25.00,382 KBytes,3.13 Mbits/sec,0,18.4 KBytes
13,24.00-25.00,382 KBytes,3.13 Mbits/sec,0,18.4 KBytes
7,25.00-26.00,382 KBytes,3.13 Mbits/sec,0,22.6 KBytes
9,25.00-26.00,382 KBytes,3.13 Mbits/sec,3,19.8 KBytes
11,25.00-26.00,382 KBytes,3.13 Mbits/sec,2,24.0 KBytes
13,25.00-26.00,509 KBytes,4.17 Mbits/sec,0,26.9 KBytes
7,26.00-27.00,764 KBytes,6.26 Mbits/sec,0,14.1 KBytes
9,26.00-27.00,636 KBytes,5.21 Mbits/sec,0,8.48 KBytes
11,26.00-27.00,573 KBytes,4.69 Mbits/sec,0,9.90 KBytes
13,26.00-27.00,636 KBytes,5.21 Mbits/sec,0,11.3 KBytes
7,27.00-28.00,191 KBytes,1.56 Mbits/sec,0,12.7 KBytes
9,27.00-28.00,382 KBytes,3.13 Mbits/sec,1,11.3 KBytes
11,27.00-28.00,382 KBytes,3.13 Mbits/sec,0,14.1 KBytes
13,27.00-28.00,382 KBytes,3.13 Mbits/sec,0,19.8 KBytes
7,28.00-29.00,573 KBytes,4.69 Mbits/sec,0,19.8 KBytes
9,28.00-29.00,382 KBytes,3.13 Mbits/sec,0,19.8 KBytes
11,28.00-29.00,573 KBytes,4.69 Mbits/sec,0,19.8 KBytes
13,28.00-29.00,636 KBytes,5.21 Mbits/sec,3,18.4 KBytes
7,29.00-30.00,573 KBytes,4.69 Mbits/sec,3,24.0 KBytes
9,29.00-30.00,764 KBytes,6.25 Mbits/sec,0,17.0 KBytes
11,29.00-30.00,382 KBytes,3.13 Mbits/sec,4,11.3 KBytes
13,29.00-30.00,509 KBytes,4.17 Mbits/sec,1,11.3 KBytes
7,30.00-31.00,764 KBytes,6.26 Mbits/sec,0,8.48 KBytes
9,30.00-31.00,509 KBytes,4.17 Mbits/sec,0,5.66 KBytes
11,30.00-31.00,382 KBytes,3.13 Mbits/sec,0,5.66 KBytes
13,30.00-31.00,382 KBytes,3.13 Mbits/sec,0,4.24 KBytes
7,31.00-32.00,573 KBytes,4.69 Mbits/sec,0,14.1 KBytes
9,31.00-32.00,509 KBytes,4.17 Mbits/sec,2,7.07 KBytes
11,31.00-32.00,573 KBytes,4.69 Mbits/sec,0,14.1 KBytes
13,31.00-32.00,382 KBytes,3.13 Mbits/sec,0,12.7 KBytes
7,32.00-33.00,573 KBytes,4.69 Mbits/sec,6,15.6 KBytes
9,32.00-33.00,382 KBytes,3.13 Mbits/sec,1,14.1 KBytes
11,32.00-33.00,573 KBytes,4.69 Mbits/sec,0,9.90 KBytes
13,32.00-33.00,764 KBytes,6.26 Mbits/sec,1,12.7 KBytes
7,33.00-34.00,573 KBytes,4.69 Mbits/sec,6,17.0 KBytes
9,33.00-34.00,636 KBytes,5.21 Mbits/sec,3,21.2 KBytes
11,33.00-34.00,382 KBytes,3.13 Mbits/sec,4,21.2 KBytes
13,33.00-34.00,509 KBytes,4.17 Mbits/sec,7,21.2 KBytes
7,34.00-35.00,573 KBytes,4.69 Mbits/sec,0,14.1 KBytes
