flow,avg_bw_before,avg_bw_during,avg_bw_after
flow1,5.434500000000001,3.4149828767123287,4.589130434782608
flow2,5.4305,3.320034246575342,4.5323913043478266
flow3,5.742999999999999,3.3171746575342462,4.386521739130435
flow4,5.273,3.299383561643835,4.577608695652173
flow5,5.7475000000000005,3.2783047945205475,4.521521739130435
flow6,5.2509999999999994,3.2587842465753423,4.522173913043478
flow7,5.9765,3.322898799313893,4.430217391304348
flow8,5.921500000000001,3.322915951972556,4.262173913043476
flow9,4.8839999999999995,3.3076027397260273,4.510217391304347
flow10,4.6705,3.327123287671233,4.374130434782608
flow11,4.356,3.39222602739726,4.509565217391304
flow12,5.092499999999999,3.3983904109589034,4.193043478260868
flow13,5.848,3.31931506849315,4.158913043478261
flow14,5.144,3.312910958904109,4.577826086956521
flow15,5.564,3.2700342465753423,4.37391304347826
flow16,6.289999999999999,3.2979452054794516,4.39695652173913
