flow,avg_bw_before,avg_bw_during,avg_bw_after
flow1,5.5015,3.3049108589951373,5.647916666666666
flow2,5.507250000000001,3.298150851581509,5.796250000000001
flow3,5.9545,3.3338952536824875,5.536666666666666
flow4,4.86825,3.2832766990291264,5.5370833333333325
flow5,5.539,3.301751644736842,4.27875
flow6,5.7205,3.2280032599837,4.6258333333333335
flow7,6.008,3.3996632996632994,4.54
flow8,4.979000000000001,3.2695141700404857,4.995833333333333
flow9,5.17225,3.2605744336569575,4.734999999999999
flow10,5.1659999999999995,3.308519417475728,4.69125
flow11,4.91275,3.2765776699029123,4.517916666666667
flow12,5.375,3.2829207119741097,4.300416666666667
flow13,5.254250000000001,3.2606067961165044,4.105416666666667
flow14,5.398,3.2458171521035597,4.430833333333333
flow15,5.292,3.2609627831715207,4.387083333333333
flow16,5.56675,3.2383009708737864,4.647916666666666
