flow,avg_bw_before,avg_bw_during,avg_bw_after
flow1,5.309714285714286,2.079558011049724,4.500886426592798
flow2,5.091714285714285,2.0882608695652176,4.353905817174516
flow3,4.54,1.7195196506550212,4.3045983379501385
flow4,4.840571428571428,1.6356140350877189,4.32606648199446
flow5,4.857352941176471,2.091256830601093,4.446204986149584
flow6,4.840882352941176,2.0564444444444443,4.46196675900277
flow7,4.3031428571428565,1.7136651583710403,4.298670360110804
flow8,4.378857142857142,1.7179555555555555,4.314764542936288
flow9,5.238529411764706,2.5799324324324324,4.445346260387812
flow10,4.584857142857142,1.6704405286343609,4.447257617728532
flow11,4.4317142857142855,1.7041228070175436,4.40836565096953
flow12,4.734285714285714,2.1520555555555556,4.505457063711911
flow13,4.976176470588236,2.113756906077348,4.388476454293629
flow14,5.129705882352942,2.1320224719101124,4.397036011080332
flow15,4.580285714285713,1.7052017937219728,4.421357340720222
flow16,4.271714285714285,1.7003139013452913,4.516371191135735
