flow,avg_bw_before,avg_bw_during,avg_bw_after
flow1,4.799714285714287,2.5231565656565658,4.012626262626264
flow2,4.442285714285714,2.48360824742268,4.191717171717172
flow3,3.9,2.399447115384615,4.088686868686869
flow4,4.380857142857143,2.3767647058823527,4.046717171717172
flow5,4.217714285714286,2.429289215686274,4.0201515151515155
flow6,4.511714285714285,2.3835491606714623,4.15989898989899
flow7,4.339428571428571,2.3826811594202892,4.099393939393939
flow8,4.37,2.3723501199040764,4.131010101010101
flow9,4.8837142857142855,2.4640306122448976,3.937766497461929
flow10,4.546285714285713,2.2986330935251797,4.0861616161616165
flow11,4.218285714285714,2.378848920863309,4.04929292929293
flow12,4.399428571428572,2.351247002398081,3.980909090909092
flow13,4.283714285714286,2.3589448441247,4.165151515151515
flow14,4.2217142857142855,2.3239088729016784,4.054545454545455
flow15,4.339428571428571,2.361630695443645,3.996666666666666
flow16,3.893428571428571,2.344028776978417,3.981060606060606
