flow,avg_bw_before,avg_bw_during,avg_bw_after
flow1,5.538666666666666,3.1026960784313724,4.283478260869565
flow2,5.26,3.1341993464052287,4.351739130434782
flow3,6.300666666666666,3.108009868421053,3.8973913043478263
flow4,5.263999999999999,3.169035947712418,4.3734782608695655
flow5,5.404666666666666,3.108494271685761,4.396521739130433
flow6,5.058666666666666,3.077941176470588,4.759130434782608
flow7,4.64,3.1085620915032677,4.7134782608695645
flow8,4.924,3.0660457516339865,4.533043478260869
flow9,5.7746666666666675,3.1511111111111103,4.6243478260869555
flow10,5.439333333333334,3.039721767594108,4.826521739130434
flow11,5.480000000000001,3.156486928104575,4.4421739130434785
flow12,5.361333333333333,3.172679738562091,4.034782608695652
flow13,6.051333333333335,3.0696523178807946,4.441739130434783
flow14,5.615333333333333,3.1562581699346404,4.579565217391305
flow15,5.321333333333332,3.1896895424836598,4.419130434782608
flow16,5.053333333333333,3.0753758169934633,4.557391304347825
