flow,avg_bw_before,avg_bw_during,avg_bw_after
flow1,5.752333333333334,3.179276527331189,4.250384615384615
flow2,5.539,3.151744372990353,4.571153846153846
flow3,5.808999999999999,3.167596774193548,3.9292307692307693
flow4,5.161,3.2136575562700966,4.450384615384615
flow5,4.770999999999999,3.1884955752212387,4.371153846153846
flow6,5.263666666666666,3.140337620578778,5.252307692307692
flow7,5.426999999999997,3.192261712439418,4.931538461538461
flow8,5.233999999999998,3.0846940418679547,4.5515384615384615
flow9,5.827999999999999,3.1374758842443726,4.451153846153845
flow10,6.428333333333333,3.1098712791633143,4.609999999999999
flow11,5.825333333333334,3.115281350482315,4.47076923076923
flow12,6.007999999999998,3.1668971061093245,4.350769230769231
flow13,5.301999999999998,3.10336569579288,5.330384615384616
flow14,5.246333333333333,3.103416398713826,5.372307692307692
flow15,5.302666666666667,3.1923713826366553,5.272307692307693
flow16,4.6966666666666645,3.1064067524115755,5.012692307692307
