flow,avg_bw_before,avg_bw_during,avg_bw_after
flow1,4.860384615384615,3.1393311582381727,4.454545454545455
flow2,4.601923076923077,3.1443719412724307,4.075454545454545
flow3,4.923461538461538,3.1323980424143554,3.9809090909090914
flow4,5.045,3.1885154975530177,5.117272727272727
flow5,5.718846153846155,3.237922297297297,4.264545454545455
flow6,4.562307692307692,3.15797385620915,5.78
flow7,4.436538461538461,3.161239804241435,4.170000000000001
flow8,4.5115384615384615,3.113670473083197,5.212727272727272
flow9,5.5188461538461535,3.1002773246329522,4.36
flow10,5.070384615384615,3.1315334420880907,4.502727272727274
flow11,6.141923076923077,3.4326164874551965,3.983636363636364
flow12,5.4192307692307695,3.1946492659053827,3.9809090909090914
flow13,4.161153846153845,3.133980424143556,5.028181818181818
flow14,4.780384615384616,3.1563305785123967,4.884545454545455
flow15,4.682307692307692,3.096769983686786,5.214545454545455
flow16,5.163076923076923,3.077295081967213,4.927272727272728
