flow,avg_bw_before,avg_bw_during,avg_bw_after
flow1,4.836666666666666,3.706594059405941,3.9307000000000003
flow2,4.511777777777777,3.795168316831683,3.7643
flow3,4.441999999999999,3.7620594059405943,4.1291
flow4,4.440666666666666,3.716811881188119,4.0354
flow5,4.91,3.6483168316831684,3.9570999999999996
flow6,4.459111111111111,3.7064158415841586,3.9204000000000008
flow7,4.578666666666667,3.7715445544554456,3.9309000000000003
flow8,4.950222222222221,3.7105742574257428,3.9102000000000006
flow9,4.716222222222222,3.7971683168316837,4.202
flow10,4.388888888888888,3.9518811881188123,4.139200000000001
flow11,4.712222222222222,3.982653465346535,4.108600000000001
flow12,4.544666666666666,3.9045148514851493,3.983600000000001
flow13,4.489333333333333,3.9888316831683173,3.9722000000000004
flow14,4.6515555555555546,3.9722970297029714,4.0141
flow15,4.512888888888889,3.975544554455446,3.7329000000000003
flow16,4.268444444444444,3.9352475247524756,3.847400000000001
