flow,avg_bw_before,avg_bw_during,avg_bw_after
flow1,4.736666666666666,3.7851912045889105,4.03030487804878
flow2,4.500777777777778,3.794187380497132,4.234085365853659
flow3,4.454666666666667,3.7830497131931167,4.240609756097561
flow4,4.4061111111111115,3.723948374760995,4.266036585365853
flow5,4.595777777777778,3.7321701720841305,4.211890243902439
flow6,4.690666666666667,3.777543021032505,4.084634146341464
flow7,4.523777777777778,3.778202676864245,4.027621951219512
flow8,4.765888888888889,3.7905449330783942,4.100853658536585
flow9,4.487333333333334,3.953393881453156,4.157987804878049
flow10,4.462444444444444,4.004216061185469,4.341951219512196
flow11,4.4608888888888885,3.982217973231357,4.291707317073171
flow12,5.188333333333333,4.303340358271866,4.377564102564103
flow13,4.277555555555556,3.9234034416826007,4.208170731707318
flow14,4.409666666666668,3.951281070745699,4.157560975609757
flow15,4.337444444444445,3.9817399617590827,3.9671341463414627
flow16,4.211555555555556,3.952782026768643,3.95140243902439
