iteration,start_time,end_time,duration
1,2025-05-02T13:40:53.712342,2025-05-02T13:41:17.192185,23.48
2,2025-05-02T13:41:22.196569,2025-05-02T13:41:40.742749,18.55
3,2025-05-02T13:41:45.743339,2025-05-02T13:42:00.447704,14.7
4,2025-05-02T13:42:05.450270,2025-05-02T13:42:17.666747,12.22
5,2025-05-02T13:42:22.670297,2025-05-02T13:42:39.094229,16.42
6,2025-05-02T13:42:44.094479,2025-05-02T13:43:01.716757,17.62
7,2025-05-02T13:43:06.722034,2025-05-02T13:43:26.542878,19.82
8,2025-05-02T13:43:31.547795,2025-05-02T13:43:52.891052,21.34
9,2025-05-02T13:43:57.894269,2025-05-02T13:44:10.374419,12.48
10,2025-05-02T13:44:15.378551,2025-05-02T13:44:31.770131,16.39
11,2025-05-02T13:44:36.774244,2025-05-02T13:44:53.250962,16.48
12,2025-05-02T13:44:58.254547,2025-05-02T13:45:16.496458,18.24
13,2025-05-02T13:45:21.502355,2025-05-02T13:45:36.824832,15.32
14,2025-05-02T13:45:41.825043,2025-05-02T13:45:58.772581,16.95
15,2025-05-02T13:46:03.774265,2025-05-02T13:46:19.506466,15.73
16,2025-05-02T13:46:24.510313,2025-05-02T13:46:43.498632,18.99
17,2025-05-02T13:46:48.501564,2025-05-02T13:47:10.391253,21.89
18,2025-05-02T13:47:15.393297,2025-05-02T13:47:34.179084,18.79
19,2025-05-02T13:47:39.182276,2025-05-02T13:47:53.652861,14.47
20,2025-05-02T13:47:58.654897,2025-05-02T13:48:17.248753,18.59
