ID,Interval,Transfer,Bitrate,Retr,Cwnd
7,0.00-1.00,863 KBytes,7.07 Mbits/sec,0,35.4 KBytes
9,0.00-1.00,1.39 MBytes,11.7 Mbits/sec,0,84.8 KBytes
11,0.00-1.00,723 KBytes,5.92 Mbits/sec,0,35.4 KBytes
13,0.00-1.00,1.25 MBytes,10.5 Mbits/sec,0,55.1 KBytes
7,1.00-2.00,636 KBytes,5.21 Mbits/sec,0,31.1 KBytes
9,1.00-2.00,1.24 MBytes,10.4 Mbits/sec,0,43.8 KBytes
11,1.00-2.00,764 KBytes,6.26 Mbits/sec,0,31.1 KBytes
13,1.00-2.00,700 KBytes,5.73 Mbits/sec,3,19.8 KBytes
7,2.00-3.00,636 KBytes,5.21 Mbits/sec,2,8.48 KBytes
9,2.00-3.00,1.06 MBytes,8.86 Mbits/sec,3,9.90 KBytes
11,2.00-3.00,764 KBytes,6.26 Mbits/sec,6,17.0 KBytes
13,2.00-3.00,509 KBytes,4.17 Mbits/sec,3,11.3 KBytes
7,3.00-4.00,509 KBytes,4.17 Mbits/sec,0,11.3 KBytes
9,3.00-4.00,445 KBytes,3.65 Mbits/sec,6,21.2 KBytes
11,3.00-4.00,764 KBytes,6.26 Mbits/sec,10,19.8 KBytes
13,3.00-4.00,509 KBytes,4.17 Mbits/sec,0,18.4 KBytes
7,4.00-5.00,509 KBytes,4.17 Mbits/sec,0,12.7 KBytes
9,4.00-5.00,764 KBytes,6.26 Mbits/sec,0,24.0 KBytes
11,4.00-5.00,764 KBytes,6.26 Mbits/sec,0,15.6 KBytes
13,4.00-5.00,636 KBytes,5.21 Mbits/sec,0,18.4 KBytes
7,5.00-6.00,382 KBytes,3.13 Mbits/sec,0,21.2 KBytes
9,5.00-6.00,954 KBytes,7.82 Mbits/sec,0,35.4 KBytes
11,5.00-6.00,509 KBytes,4.17 Mbits/sec,0,24.0 KBytes
13,5.00-6.00,509 KBytes,4.17 Mbits/sec,0,19.8 KBytes
