iteration,start_time,end_time,duration
1,2025-05-02T11:27:29.580986,2025-05-02T11:28:04.750019,35.17
2,2025-05-02T11:28:09.754261,2025-05-02T11:28:42.776507,33.02
3,2025-05-02T11:28:47.778263,2025-05-02T11:29:21.545793,33.77
4,2025-05-02T11:29:26.550298,2025-05-02T11:29:55.943105,29.39
5,2025-05-02T11:30:00.946007,2025-05-02T11:30:32.732187,31.79
6,2025-05-02T11:30:37.734296,2025-05-02T11:31:12.014256,34.28
7,2025-05-02T11:31:17.014589,2025-05-02T11:31:51.370621,34.36
8,2025-05-02T11:31:56.371157,2025-05-02T11:32:32.366705,36.0
9,2025-05-02T11:32:37.370257,2025-05-02T11:33:10.924455,33.55
10,2025-05-02T11:33:15.926032,2025-05-02T11:33:53.618786,37.69
11,2025-05-02T11:33:58.622312,2025-05-02T11:34:36.106498,37.48
12,2025-05-02T11:34:41.106649,2025-05-02T11:35:19.029108,37.92
13,2025-05-02T11:35:24.030039,2025-05-02T11:35:58.215338,34.19
14,2025-05-02T11:36:03.220128,2025-05-02T11:36:37.133676,33.91
15,2025-05-02T11:36:42.138263,2025-05-02T11:37:19.908915,37.77
16,2025-05-02T11:37:24.910252,2025-05-02T11:38:00.227748,35.32
17,2025-05-02T11:38:05.230250,2025-05-02T11:38:37.071091,31.84
18,2025-05-02T11:38:42.074285,2025-05-02T11:39:15.227842,33.15
19,2025-05-02T11:39:20.228231,2025-05-02T11:39:55.772039,35.54
20,2025-05-02T11:40:00.772858,2025-05-02T11:40:30.800169,30.03
