iteration,start_time,end_time,duration
1,2025-05-14T10:25:47.687893,2025-05-14T10:26:31.203225,43.52
2,2025-05-14T10:26:36.206255,2025-05-14T10:27:19.450361,43.24
3,2025-05-14T10:27:24.453299,2025-05-14T10:28:11.870868,47.42
4,2025-05-14T10:28:16.874258,2025-05-14T10:29:03.015932,46.14
5,2025-05-14T10:29:08.019133,2025-05-14T10:29:54.689731,46.67
6,2025-05-14T10:29:59.694763,2025-05-14T10:30:45.622033,45.93
7,2025-05-14T10:30:50.627091,2025-05-14T10:31:34.446084,43.82
8,2025-05-14T10:31:39.450264,2025-05-14T10:32:23.619957,44.17
9,2025-05-14T10:32:28.622257,2025-05-14T10:33:11.972247,43.35
10,2025-05-14T10:33:16.973042,2025-05-14T10:34:00.916916,43.94
11,2025-05-14T10:34:05.918290,2025-05-14T10:34:46.400301,40.48
12,2025-05-14T10:34:51.402251,2025-05-14T10:35:34.716256,43.31
13,2025-05-14T10:35:39.716534,2025-05-14T10:36:21.664220,41.95
14,2025-05-14T10:36:26.668401,2025-05-14T10:37:12.282008,45.61
15,2025-05-14T10:37:17.282229,2025-05-14T10:38:03.542267,46.26
16,2025-05-14T10:38:08.546273,2025-05-14T10:38:55.096020,46.55
17,2025-05-14T10:39:00.098302,2025-05-14T10:39:48.933825,48.84
18,2025-05-14T10:39:53.938780,2025-05-14T10:40:36.050493,42.11
19,2025-05-14T10:40:41.054273,2025-05-14T10:41:26.571138,45.52
20,2025-05-14T10:41:31.574257,2025-05-14T10:42:16.958114,45.38
