start_time,end_time,transfer,bandwidth
0.0,1.0,2.64 MBytes,22.2 Mbits/sec
1.0,2.0,1.99 MBytes,16.7 Mbits/sec
2.0,3.0,1.55 MBytes,13.0 Mbits/sec
3.0,4.0,1018 KBytes,8.34 Mbits/sec
4.0,5.0,509 KBytes,4.17 Mbits/sec
5.0,6.0,509 KBytes,4.17 Mbits/sec
6.0,7.0,573 KBytes,4.69 Mbits/sec
8.0,9.0,509 KBytes,4.17 Mbits/sec
10.0,11.0,509 KBytes,4.17 Mbits/sec
11.0,12.0,509 KBytes,4.17 Mbits/sec
12.0,13.0,509 KBytes,4.17 Mbits/sec
13.0,14.0,509 KBytes,4.17 Mbits/sec
14.0,15.0,573 KBytes,4.69 Mbits/sec
16.0,17.0,509 KBytes,4.17 Mbits/sec
18.0,19.0,509 KBytes,4.17 Mbits/sec
20.0,21.0,509 KBytes,4.17 Mbits/sec
21.0,22.0,509 KBytes,4.17 Mbits/sec
23.0,24.0,573 KBytes,4.69 Mbits/sec
24.0,25.0,509 KBytes,4.17 Mbits/sec
26.0,27.0,509 KBytes,4.17 Mbits/sec
27.0,28.0,509 KBytes,4.17 Mbits/sec
28.0,29.0,509 KBytes,4.17 Mbits/sec
29.0,30.0,509 KBytes,4.17 Mbits/sec
30.0,31.0,509 KBytes,4.17 Mbits/sec
31.0,32.0,509 KBytes,4.17 Mbits/sec
33.0,34.0,509 KBytes,4.17 Mbits/sec
34.0,35.0,509 KBytes,4.17 Mbits/sec
35.0,36.0,509 KBytes,4.17 Mbits/sec
36.0,37.0,509 KBytes,4.17 Mbits/sec
37.0,37.78,509 KBytes,5.35 Mbits/sec
0.0,37.78,20.3 MBytes,4.51 Mbits/sec
0.0,37.82,18.8 MBytes,4.18 Mbits/sec
