ID,Interval,Transfer,Bitrate,Retr,Cwnd
7,0.00-1.00,4.65 MBytes,39.0 Mbits/sec,126,52.3 KBytes
9,0.00-1.00,3.41 MBytes,28.6 Mbits/sec,1,76.4 KBytes
11,0.00-1.00,3.47 MBytes,29.1 Mbits/sec,49,67.9 KBytes
13,0.00-1.00,5.37 MBytes,45.1 Mbits/sec,186,77.8 KBytes
7,1.00-2.00,1.06 MBytes,8.86 Mbits/sec,1,42.4 KBytes
9,1.00-2.00,1.62 MBytes,13.6 Mbits/sec,0,87.7 KBytes
11,1.00-2.00,1.86 MBytes,15.6 Mbits/sec,14,48.1 KBytes
13,1.00-2.00,1.25 MBytes,10.5 Mbits/sec,0,74.9 KBytes
9,2.00-3.00,827 KBytes,6.78 Mbits/sec,26,45.2 KBytes
7,3.00-4.00,1.06 MBytes,8.86 Mbits/sec,0,56.6 KBytes
9,3.00-4.00,827 KBytes,6.77 Mbits/sec,12,35.4 KBytes
11,3.00-4.00,1018 KBytes,8.34 Mbits/sec,0,56.6 KBytes
13,3.00-4.00,1.25 MBytes,10.5 Mbits/sec,8,38.2 KBytes
7,4.00-5.00,1.06 MBytes,8.86 Mbits/sec,0,62.2 KBytes
9,4.00-5.00,827 KBytes,6.78 Mbits/sec,0,29.7 KBytes
11,4.00-5.00,954 KBytes,7.82 Mbits/sec,4,17.0 KBytes
7,5.00-6.00,1.06 MBytes,8.86 Mbits/sec,0,77.8 KBytes
13,5.00-6.00,1.25 MBytes,10.5 Mbits/sec,0,67.9 KBytes
7,6.00-7.00,1.06 MBytes,8.86 Mbits/sec,1,41.0 KBytes
9,6.00-7.00,827 KBytes,6.78 Mbits/sec,3,24.0 KBytes
11,6.00-7.00,954 KBytes,7.82 Mbits/sec,4,21.2 KBytes
13,6.00-7.00,1.25 MBytes,10.5 Mbits/sec,0,80.6 KBytes
9,7.00-8.00,827 KBytes,6.78 Mbits/sec,15,5.66 KBytes
13,7.00-8.00,1.25 MBytes,10.5 Mbits/sec,15,8.48 KBytes
