iteration,start_time,end_time,duration
1,2025-05-15T17:07:17.547454,2025-05-15T17:08:11.342048,53.79
2,2025-05-15T17:08:16.346236,2025-05-15T17:09:11.008880,54.66
3,2025-05-15T17:09:16.009530,2025-05-15T17:10:12.797869,56.79
4,2025-05-15T17:10:17.799744,2025-05-15T17:11:12.227292,54.43
5,2025-05-15T17:11:17.230244,2025-05-15T17:12:13.299795,56.07
6,2025-05-15T17:12:18.302275,2025-05-15T17:13:13.291940,54.99
7,2025-05-15T17:13:18.294241,2025-05-15T17:14:16.029299,57.74
8,2025-05-15T17:14:21.034321,2025-05-15T17:15:21.976408,60.94
9,2025-05-15T17:15:26.977145,2025-05-15T17:16:18.319926,51.34
10,2025-05-15T17:16:23.322242,2025-05-15T17:17:16.362169,53.04
11,2025-05-15T17:17:21.366601,2025-05-15T17:18:15.215594,53.85
12,2025-05-15T17:18:20.218293,2025-05-15T17:19:17.291708,57.07
13,2025-05-15T17:19:22.296339,2025-05-15T17:20:09.337500,47.04
14,2025-05-15T17:20:14.342492,2025-05-15T17:21:10.225019,55.88
15,2025-05-15T17:21:15.226280,2025-05-15T17:22:08.429531,53.2
16,2025-05-15T17:22:13.434299,2025-05-15T17:23:05.878338,52.44
17,2025-05-15T17:23:10.882244,2025-05-15T17:24:01.394936,50.51
18,2025-05-15T17:24:06.398416,2025-05-15T17:25:00.266823,53.87
19,2025-05-15T17:25:05.270303,2025-05-15T17:25:58.291391,53.02
20,2025-05-15T17:26:03.296480,2025-05-15T17:26:56.394705,53.1
