iteration,start_time,end_time,duration
1,2025-05-02T11:00:24.902322,2025-05-02T11:01:23.160818,58.26
2,2025-05-02T11:01:28.162264,2025-05-02T11:02:24.534261,56.37
3,2025-05-02T11:02:29.538290,2025-05-02T11:03:26.123879,56.59
4,2025-05-02T11:03:31.124421,2025-05-02T11:04:28.198708,57.07
5,2025-05-02T11:04:33.202328,2025-05-02T11:05:31.841026,58.64
6,2025-05-02T11:05:36.845472,2025-05-02T11:06:30.266303,53.42
7,2025-05-02T11:06:35.272162,2025-05-02T11:07:33.093123,57.82
8,2025-05-02T11:07:38.098514,2025-05-02T11:08:30.493761,52.4
9,2025-05-02T11:08:35.498756,2025-05-02T11:09:29.979774,54.48
10,2025-05-02T11:09:34.982548,2025-05-02T11:10:31.951804,56.97
11,2025-05-02T11:10:36.954253,2025-05-02T11:11:28.738248,51.78
12,2025-05-02T11:11:33.738720,2025-05-02T11:12:24.768760,51.03
13,2025-05-02T11:12:29.769294,2025-05-02T11:13:24.712293,54.94
14,2025-05-02T11:13:29.716786,2025-05-02T11:14:24.925143,55.21
15,2025-05-02T11:14:29.930344,2025-05-02T11:15:27.637391,57.71
16,2025-05-02T11:15:32.639426,2025-05-02T11:16:22.720060,50.08
17,2025-05-02T11:16:27.722249,2025-05-02T11:17:20.555336,52.83
18,2025-05-02T11:17:25.555635,2025-05-02T11:18:19.969122,54.41
19,2025-05-02T11:18:24.974332,2025-05-02T11:19:15.561886,50.59
20,2025-05-02T11:19:20.566371,2025-05-02T11:20:15.968370,55.4
