flow,avg_bw_before,avg_bw_during,avg_bw_after
flow1,5.028589743589743,1.9015558698727018,4.34810546875
flow2,5.00818181818182,2.077332293291732,4.372096354166667
flow3,5.100769230769231,1.7125281602002502,4.3591080729166665
flow4,4.724871794871796,1.8310490463215257,4.399498697916667
flow5,5.19407894736842,3.087077625570776,4.353405370006549
flow6,4.855769230769232,2.0002654867256635,4.336890482398958
flow7,4.853552631578947,2.121424050632911,4.321236979166667
flow8,4.539102564102566,1.4934714445688686,4.3333138020833335
flow9,4.94102564102564,1.8517320703653584,4.295989583333334
flow10,5.125844155844154,1.6915999999999998,4.3408984375
flow11,4.615897435897436,1.524142538975501,4.327923177083334
flow12,5.560921052631578,3.5541927083333333,4.39986083499006
flow13,4.331410256410257,1.5383052749719412,4.346588541666667
flow14,4.7035897435897445,1.479600443951165,4.3473828125
flow15,4.575641025641027,1.4781868743047828,4.292714843750001
flow16,4.2744871794871795,1.5118355855855854,4.282233072916667
