flow,avg_bw_before,avg_bw_during,avg_bw_after
flow1,5.254305555555555,2.60816656308266,4.377242888402626
flow2,5.513055555555557,2.673671924290221,4.377603938730854
flow3,5.211527777777778,2.6097149938042126,4.336597374179431
flow4,5.162222222222223,2.6222346368715077,4.367527352297593
flow5,4.632361111111112,2.56133209417596,4.356105032822757
flow6,5.067222222222223,2.610474083438685,4.390131291028446
flow7,4.742222222222223,2.5774907063197023,4.364080962800876
flow8,4.855972222222222,2.61692498450093,4.369551422319475
flow9,4.98,2.637514231499051,4.349113785557987
flow10,5.0713888888888885,2.601643489254108,4.382757111597375
flow11,4.810833333333333,2.5465168539325838,4.347582056892779
flow12,4.869861111111112,2.5558907510862814,4.417560175054705
flow13,4.743333333333333,2.561663563004345,4.349146608315099
flow14,4.477222222222222,2.58547146401985,4.398293216630197
flow15,4.665972222222223,2.566410415375077,4.338424507658644
flow16,4.636527777777778,2.5545533498759303,4.345787746170679
