flow,avg_bw_before,avg_bw_during,avg_bw_after
flow1,5.6243478260869555,3.155812807881773,4.466101694915255
flow2,5.754999999999999,3.139724506578947,4.545932203389831
flow3,5.614999999999999,3.1765585215605747,4.413050847457627
flow4,5.434347826086956,3.1400534759358285,4.241101694915254
flow5,4.849130434782608,3.1522044334975368,4.58084745762712
flow6,4.796304347826086,3.1836001642036127,4.453050847457628
flow7,4.890434782608694,3.201440886699507,4.386864406779662
flow8,4.993913043478259,3.1280862422997946,4.616694915254237
flow9,5.792173913043477,3.0925391591096454,4.620677966101695
flow10,5.811739130434782,3.1599505154639176,4.329152542372881
flow11,5.536521739130434,3.1170515463917523,4.430847457627119
flow12,5.243695652173913,3.1180903490759753,4.598559322033899
flow13,4.89304347826087,3.104675697865353,4.404322033898304
flow14,4.91391304347826,3.0697942386831274,4.647881355932203
flow15,5.267608695652173,3.1419620774938166,4.528389830508476
flow16,5.5488888888888885,3.3192992261392944,4.206949152542372
