iteration,start_time,end_time,duration
1,2025-04-29T14:28:38.491915,2025-04-29T14:28:43.257850,4.77
2,2025-04-29T14:28:46.261135,2025-04-29T14:28:48.928539,2.67
3,2025-04-29T14:28:51.931409,2025-04-29T14:28:55.583511,3.65
4,2025-04-29T14:28:58.586244,2025-04-29T14:29:02.859347,4.27
5,2025-04-29T14:29:05.862244,2025-04-29T14:29:11.609708,5.75
6,2025-04-29T14:29:14.612982,2025-04-29T14:29:16.987048,2.37
7,2025-04-29T14:29:19.987287,2025-04-29T14:29:26.221633,6.23
8,2025-04-29T14:29:29.222936,2025-04-29T14:29:34.599075,5.38
9,2025-04-29T14:29:37.599492,2025-04-29T14:29:42.730387,5.13
10,2025-04-29T14:29:45.730522,2025-04-29T14:29:49.778070,4.05
11,2025-04-29T14:29:52.780766,2025-04-29T14:29:55.191438,2.41
12,2025-04-29T14:29:58.191606,2025-04-29T14:30:02.215212,4.02
13,2025-04-29T14:30:05.218280,2025-04-29T14:30:08.696234,3.48
14,2025-04-29T14:30:11.696405,2025-04-29T14:30:14.838582,3.14
15,2025-04-29T14:30:17.841943,2025-04-29T14:30:23.942030,6.1
16,2025-04-29T14:30:26.942270,2025-04-29T14:30:32.944474,6.0
17,2025-04-29T14:30:35.946235,2025-04-29T14:30:42.660906,6.71
18,2025-04-29T14:30:45.661064,2025-04-29T14:30:53.662013,8.0
19,2025-04-29T14:30:56.664073,2025-04-29T14:31:02.630343,5.97
20,2025-04-29T14:31:05.632374,2025-04-29T14:31:11.619366,5.99
