iteration,start_time,end_time,duration
1,2025-04-29T14:57:33.996209,2025-04-29T14:57:36.634224,2.64
2,2025-04-29T14:57:39.634381,2025-04-29T14:57:41.953532,2.32
3,2025-04-29T14:57:44.954245,2025-04-29T14:57:54.031519,9.08
4,2025-04-29T14:57:57.032169,2025-04-29T14:58:04.641210,7.61
5,2025-04-29T14:58:07.642247,2025-04-29T14:58:12.874762,5.23
6,2025-04-29T14:58:15.875158,2025-04-29T14:58:21.483709,5.61
7,2025-04-29T14:58:24.486829,2025-04-29T14:58:29.460152,4.97
8,2025-04-29T14:58:32.461483,2025-04-29T14:58:38.011913,5.55
9,2025-04-29T14:58:41.015043,2025-04-29T14:58:48.153477,7.14
10,2025-04-29T14:58:51.154255,2025-04-29T14:58:53.139895,1.99
11,2025-04-29T14:58:56.142274,2025-04-29T14:59:02.434421,6.29
12,2025-04-29T14:59:05.437791,2025-04-29T14:59:11.288510,5.85
13,2025-04-29T14:59:14.288708,2025-04-29T14:59:19.011186,4.72
14,2025-04-29T14:59:22.014243,2025-04-29T14:59:30.260772,8.25
15,2025-04-29T14:59:33.262248,2025-04-29T14:59:40.080579,6.82
16,2025-04-29T14:59:43.080905,2025-04-29T14:59:50.439502,7.36
17,2025-04-29T14:59:53.442275,2025-04-29T14:59:57.654493,4.21
18,2025-04-29T15:00:00.657690,2025-04-29T15:00:08.711000,8.05
19,2025-04-29T15:00:11.714191,2025-04-29T15:00:17.674938,5.96
20,2025-04-29T15:00:20.678043,2025-04-29T15:00:26.430680,5.75
