iteration,start_time,end_time,duration
1,2025-05-14T11:47:21.162255,2025-05-14T11:47:22.814419,1.65
2,2025-05-14T11:47:25.817944,2025-05-14T11:47:30.348800,4.53
3,2025-05-14T11:47:33.352103,2025-05-14T11:47:37.752286,4.4
4,2025-05-14T11:47:40.754785,2025-05-14T11:47:46.074990,5.32
5,2025-05-14T11:47:49.075157,2025-05-14T11:47:51.920768,2.85
6,2025-05-14T11:47:54.922234,2025-05-14T11:47:56.691928,1.77
7,2025-05-14T11:47:59.695071,2025-05-14T11:48:07.618083,7.92
8,2025-05-14T11:48:10.620435,2025-05-14T11:48:16.460464,5.84
9,2025-05-14T11:48:19.460791,2025-05-14T11:48:24.950088,5.49
10,2025-05-14T11:48:27.953452,2025-05-14T11:48:37.483776,9.53
11,2025-05-14T11:48:40.484453,2025-05-14T11:48:46.753811,6.27
12,2025-05-14T11:48:49.756866,2025-05-14T11:48:57.171757,7.41
13,2025-05-14T11:49:00.174296,2025-05-14T11:49:06.189379,6.02
14,2025-05-14T11:49:09.189588,2025-05-14T11:49:13.667484,4.48
15,2025-05-14T11:49:16.670617,2025-05-14T11:49:19.724594,3.05
16,2025-05-14T11:49:22.726252,2025-05-14T11:49:28.537642,5.81
17,2025-05-14T11:49:31.538706,2025-05-14T11:49:37.544046,6.01
18,2025-05-14T11:49:40.544237,2025-05-14T11:49:43.210483,2.67
19,2025-05-14T11:49:46.212716,2025-05-14T11:49:51.707385,5.49
20,2025-05-14T11:49:54.710274,2025-05-14T11:50:00.899161,6.19
