ID,Interval,Transfer,Bitrate,Retr,Cwnd
7,0.00-1.00,4.25 MBytes,35.7 Mbits/sec,20,29.7 KBytes
9,0.00-1.00,5.60 MBytes,46.9 Mbits/sec,17,42.4 KBytes
11,0.00-1.00,4.55 MBytes,38.2 Mbits/sec,43,41.0 KBytes
13,0.00-1.00,4.34 MBytes,36.4 Mbits/sec,23,48.1 KBytes
7,1.00-2.00,1018 KBytes,8.34 Mbits/sec,2,19.8 KBytes
9,1.00-2.00,1.49 MBytes,12.5 Mbits/sec,0,4.24 KBytes
11,1.00-2.00,1.74 MBytes,14.6 Mbits/sec,0,7.07 KBytes
13,1.00-2.00,1.24 MBytes,10.4 Mbits/sec,9,12.7 KBytes
7,2.00-3.00,2.49 MBytes,20.8 Mbits/sec,0,39.6 KBytes
9,2.00-3.00,2.61 MBytes,21.9 Mbits/sec,0,48.1 KBytes
11,2.00-3.00,2.05 MBytes,17.2 Mbits/sec,0,36.8 KBytes
13,2.00-3.00,2.86 MBytes,24.0 Mbits/sec,0,42.4 KBytes
7,3.00-4.00,1.74 MBytes,14.6 Mbits/sec,20,45.2 KBytes
9,3.00-4.00,3.54 MBytes,29.7 Mbits/sec,0,87.7 KBytes
11,3.00-4.00,2.11 MBytes,17.7 Mbits/sec,0,53.7 KBytes
13,3.00-4.00,2.49 MBytes,20.9 Mbits/sec,0,59.4 KBytes
7,4.00-5.00,2.11 MBytes,17.7 Mbits/sec,0,70.7 KBytes
9,4.00-5.00,3.48 MBytes,29.2 Mbits/sec,0,115 KBytes
11,4.00-5.00,2.42 MBytes,20.3 Mbits/sec,0,80.6 KBytes
13,4.00-5.00,2.42 MBytes,20.3 Mbits/sec,0,84.8 KBytes
7,5.00-6.00,2.24 MBytes,18.8 Mbits/sec,18,55.1 KBytes
9,5.00-6.00,3.73 MBytes,31.3 Mbits/sec,2,77.8 KBytes
11,5.00-6.00,2.24 MBytes,18.8 Mbits/sec,19,46.7 KBytes
13,5.00-6.00,2.98 MBytes,25.0 Mbits/sec,21,62.2 KBytes
7,6.00-7.00,2.61 MBytes,21.9 Mbits/sec,0,84.8 KBytes
9,6.00-7.00,2.98 MBytes,25.0 Mbits/sec,0,74.9 KBytes
11,6.00-7.00,2.24 MBytes,18.8 Mbits/sec,0,76.4 KBytes
13,6.00-7.00,2.80 MBytes,23.5 Mbits/sec,0,91.9 KBytes
7,7.00-8.00,2.49 MBytes,20.8 Mbits/sec,19,43.8 KBytes
9,7.00-8.00,1.55 MBytes,13.0 Mbits/sec,31,22.6 KBytes
11,7.00-8.00,1.30 MBytes,10.9 Mbits/sec,3,31.1 KBytes
13,7.00-8.00,1.30 MBytes,10.9 Mbits/sec,30,28.3 KBytes
7,8.00-9.00,2.24 MBytes,18.8 Mbits/sec,0,74.9 KBytes
9,8.00-9.00,1.24 MBytes,10.4 Mbits/sec,0,52.3 KBytes
11,8.00-9.00,1.86 MBytes,15.6 Mbits/sec,0,60.8 KBytes
13,8.00-9.00,1.80 MBytes,15.1 Mbits/sec,0,59.4 KBytes
7,9.00-10.00,2.24 MBytes,18.8 Mbits/sec,0,94.7 KBytes
9,9.00-10.00,1.74 MBytes,14.6 Mbits/sec,0,72.1 KBytes
11,9.00-10.00,1.68 MBytes,14.1 Mbits/sec,0,80.6 KBytes
13,9.00-10.00,1.74 MBytes,14.6 Mbits/sec,0,79.2 KBytes
7,10.00-11.00,2.86 MBytes,24.0 Mbits/sec,43,60.8 KBytes
9,10.00-11.00,1.99 MBytes,16.7 Mbits/sec,31,48.1 KBytes
11,10.00-11.00,2.61 MBytes,21.9 Mbits/sec,53,58.0 KBytes
13,10.00-11.00,2.36 MBytes,19.8 Mbits/sec,45,52.3 KBytes
7,11.00-12.00,2.49 MBytes,20.9 Mbits/sec,24,62.2 KBytes
9,11.00-12.00,1.99 MBytes,16.7 Mbits/sec,0,55.1 KBytes
11,11.00-12.00,2.42 MBytes,20.3 Mbits/sec,0,62.2 KBytes
13,11.00-12.00,2.05 MBytes,17.2 Mbits/sec,0,58.0 KBytes
7,12.00-13.00,2.49 MBytes,20.8 Mbits/sec,0,89.1 KBytes
9,12.00-13.00,2.24 MBytes,18.8 Mbits/sec,0,80.6 KBytes
11,12.00-13.00,2.24 MBytes,18.8 Mbits/sec,2,62.2 KBytes
