iteration,start_time,end_time,duration
1,2025-04-29T16:26:58.351467,2025-04-29T16:27:04.045885,5.69
2,2025-04-29T16:27:09.050349,2025-04-29T16:27:12.972507,3.92
3,2025-04-29T16:27:17.974354,2025-04-29T16:27:25.993299,8.02
4,2025-04-29T16:27:30.993588,2025-04-29T16:27:41.621712,10.63
5,2025-04-29T16:27:46.624353,2025-04-29T16:27:57.416956,10.79
6,2025-04-29T16:28:02.422416,2025-04-29T16:28:13.970596,11.55
7,2025-04-29T16:28:18.972586,2025-04-29T16:28:28.830799,9.86
8,2025-04-29T16:28:33.831054,2025-04-29T16:28:44.273572,10.44
9,2025-04-29T16:28:49.278268,2025-04-29T16:29:03.407730,14.13
10,2025-04-29T16:29:08.410265,2025-04-29T16:29:17.635061,9.22
11,2025-04-29T16:29:22.638267,2025-04-29T16:29:32.201570,9.56
12,2025-04-29T16:29:37.201807,2025-04-29T16:29:44.822902,7.62
13,2025-04-29T16:29:49.826262,2025-04-29T16:30:06.428018,16.6
14,2025-04-29T16:30:11.433191,2025-04-29T16:30:22.712217,11.28
15,2025-04-29T16:30:27.716775,2025-04-29T16:30:37.872345,10.16
16,2025-04-29T16:30:42.874259,2025-04-29T16:30:48.505336,5.63
17,2025-04-29T16:30:53.510263,2025-04-29T16:31:00.639107,7.13
18,2025-04-29T16:31:05.639575,2025-04-29T16:31:10.473678,4.83
19,2025-04-29T16:31:15.474734,2025-04-29T16:31:28.281795,12.81
20,2025-04-29T16:31:33.281966,2025-04-29T16:31:45.703651,12.42
