iteration,start_time,end_time,duration
1,2025-04-29T16:46:09.378792,2025-04-29T16:46:17.521025,8.14
2,2025-04-29T16:46:22.522258,2025-04-29T16:46:26.643792,4.12
3,2025-04-29T16:46:31.645162,2025-04-29T16:46:36.116160,4.47
4,2025-04-29T16:46:41.118250,2025-04-29T16:46:49.346114,8.23
5,2025-04-29T16:46:54.346343,2025-04-29T16:46:59.099445,4.75
6,2025-04-29T16:47:04.104628,2025-04-29T16:47:11.681639,7.58
7,2025-04-29T16:47:16.686159,2025-04-29T16:47:23.879511,7.19
8,2025-04-29T16:47:28.882150,2025-04-29T16:47:36.945586,8.06
9,2025-04-29T16:47:41.945754,2025-04-29T16:47:49.979535,8.03
10,2025-04-29T16:47:54.982253,2025-04-29T16:47:59.059712,4.08
11,2025-04-29T16:48:04.062269,2025-04-29T16:48:09.073765,5.01
12,2025-04-29T16:48:14.078675,2025-04-29T16:48:16.998356,2.92
13,2025-04-29T16:48:22.002670,2025-04-29T16:48:29.540694,7.54
14,2025-04-29T16:48:34.540873,2025-04-29T16:48:44.924125,10.38
15,2025-04-29T16:48:49.926793,2025-04-29T16:48:56.153156,6.23
16,2025-04-29T16:49:01.158259,2025-04-29T16:49:09.942744,8.78
17,2025-04-29T16:49:14.943533,2025-04-29T16:49:18.864172,3.92
18,2025-04-29T16:49:23.866266,2025-04-29T16:49:33.128302,9.26
19,2025-04-29T16:49:38.130247,2025-04-29T16:49:40.646606,2.52
20,2025-04-29T16:49:45.650204,2025-04-29T16:49:48.148123,2.5
