start_time,end_time,transfer,bandwidth
0.0,1.0,863 KBytes,7.07 Mbits/sec
1.0,2.0,1.49 MBytes,12.5 Mbits/sec
2.0,3.0,1.99 MBytes,16.7 Mbits/sec
3.0,4.0,1.74 MBytes,14.6 Mbits/sec
4.0,5.0,1.86 MBytes,15.6 Mbits/sec
5.0,6.0,2.11 MBytes,17.7 Mbits/sec
6.0,7.0,2.24 MBytes,18.8 Mbits/sec
7.0,8.0,2.42 MBytes,20.3 Mbits/sec
8.0,9.0,2.49 MBytes,20.9 Mbits/sec
9.0,10.0,2.55 MBytes,21.4 Mbits/sec
10.0,10.11,509 KBytes,37.4 Mbits/sec
0.0,10.11,20.2 MBytes,16.8 Mbits/sec
0.0,10.14,19.6 MBytes,16.2 Mbits/sec
