iteration,start_time,end_time,duration
1,2025-05-14T11:53:00.397610,2025-05-14T11:53:10.903672,10.51
2,2025-05-14T11:53:15.906263,2025-05-14T11:53:25.582933,9.68
3,2025-05-14T11:53:30.586283,2025-05-14T11:53:36.804372,6.22
4,2025-05-14T11:53:41.809602,2025-05-14T11:53:52.298058,10.49
5,2025-05-14T11:53:57.302284,2025-05-14T11:54:05.861004,8.56
6,2025-05-14T11:54:10.862245,2025-05-14T11:54:17.780444,6.92
7,2025-05-14T11:54:22.785674,2025-05-14T11:54:32.258495,9.47
8,2025-05-14T11:54:37.262253,2025-05-14T11:54:46.107987,8.85
9,2025-05-14T11:54:51.110257,2025-05-14T11:54:59.509793,8.4
10,2025-05-14T11:55:04.510061,2025-05-14T11:55:10.550981,6.04
11,2025-05-14T11:55:15.554681,2025-05-14T11:55:24.917782,9.36
12,2025-05-14T11:55:29.922950,2025-05-14T11:55:33.844599,3.92
13,2025-05-14T11:55:38.846251,2025-05-14T11:55:48.582079,9.74
14,2025-05-14T11:55:53.586213,2025-05-14T11:55:57.582096,4.0
15,2025-05-14T11:56:02.586245,2025-05-14T11:56:10.000958,7.41
16,2025-05-14T11:56:15.002334,2025-05-14T11:56:22.516082,7.51
17,2025-05-14T11:56:27.518251,2025-05-14T11:56:32.008227,4.49
18,2025-05-14T11:56:37.010291,2025-05-14T11:56:44.774542,7.76
19,2025-05-14T11:56:49.774689,2025-05-14T11:56:57.686101,7.91
20,2025-05-14T11:57:02.690380,2025-05-14T11:57:13.328475,10.64
