iteration,start_time,end_time,duration
1,2025-04-29T17:00:08.393045,2025-04-29T17:00:24.185019,15.79
2,2025-04-29T17:00:29.189932,2025-04-29T17:00:33.187981,4.0
3,2025-04-29T17:00:38.190250,2025-04-29T17:00:43.205853,5.02
4,2025-04-29T17:00:48.211098,2025-04-29T17:00:51.953437,3.74
5,2025-04-29T17:00:56.958237,2025-04-29T17:01:11.681047,14.72
6,2025-04-29T17:01:16.682256,2025-04-29T17:01:21.234302,4.55
7,2025-04-29T17:01:26.238239,2025-04-29T17:01:38.624304,12.39
8,2025-04-29T17:01:43.626260,2025-04-29T17:01:47.724235,4.1
9,2025-04-29T17:01:52.726234,2025-04-29T17:01:55.861885,3.14
10,2025-04-29T17:02:00.866242,2025-04-29T17:02:04.835527,3.97
11,2025-04-29T17:02:09.835711,2025-04-29T17:02:14.748544,4.91
12,2025-04-29T17:02:19.750275,2025-04-29T17:02:26.768500,7.02
13,2025-04-29T17:02:31.768804,2025-04-29T17:02:43.778432,12.01
14,2025-04-29T17:02:48.778597,2025-04-29T17:03:00.219626,11.44
15,2025-04-29T17:03:05.220828,2025-04-29T17:03:10.063085,4.84
16,2025-04-29T17:03:15.063244,2025-04-29T17:03:29.063730,14.0
17,2025-04-29T17:03:34.064121,2025-04-29T17:03:47.670861,13.61
18,2025-04-29T17:03:52.674333,2025-04-29T17:04:05.774322,13.1
19,2025-04-29T17:04:10.775126,2025-04-29T17:04:16.397347,5.62
20,2025-04-29T17:04:21.402243,2025-04-29T17:04:37.026209,15.62
