ID,Interval,Transfer,Bitrate,Retr,Cwnd
7,0.00-1.00,608 KBytes,4.98 Mbits/sec,0,53.7 KBytes
9,0.00-1.00,608 KBytes,4.98 Mbits/sec,0,53.7 KBytes
11,0.00-1.00,608 KBytes,4.98 Mbits/sec,0,53.7 KBytes
13,0.00-1.00,723 KBytes,5.92 Mbits/sec,0,53.7 KBytes
7,1.00-2.00,1.49 MBytes,12.5 Mbits/sec,0,110 KBytes
9,1.00-2.00,1.43 MBytes,12.0 Mbits/sec,0,110 KBytes
11,1.00-2.00,1.18 MBytes,9.90 Mbits/sec,0,62.2 KBytes
13,1.00-2.00,954 KBytes,7.82 Mbits/sec,0,60.8 KBytes
7,2.00-3.00,3.73 MBytes,31.3 Mbits/sec,0,269 KBytes
9,2.00-3.00,3.79 MBytes,31.8 Mbits/sec,0,264 KBytes
11,2.00-3.00,1.12 MBytes,9.38 Mbits/sec,0,74.9 KBytes
13,2.00-3.00,1.12 MBytes,9.38 Mbits/sec,0,72.1 KBytes
7,3.00-4.00,7.27 MBytes,61.0 Mbits/sec,0,577 KBytes
9,3.00-4.00,7.27 MBytes,61.0 Mbits/sec,0,547 KBytes
11,3.00-4.00,1.12 MBytes,9.38 Mbits/sec,0,82.0 KBytes
13,3.00-4.00,1.12 MBytes,9.38 Mbits/sec,0,80.6 KBytes
7,4.00-5.00,11.2 MBytes,93.7 Mbits/sec,5,673 KBytes
9,4.00-5.00,5.59 MBytes,46.9 Mbits/sec,4,310 KBytes
11,4.00-5.00,954 KBytes,7.82 Mbits/sec,1,50.9 KBytes
13,4.00-5.00,954 KBytes,7.82 Mbits/sec,2,49.5 KBytes
7,5.00-6.00,11.2 MBytes,94.4 Mbits/sec,20,368 KBytes
9,5.00-6.00,4.47 MBytes,37.5 Mbits/sec,0,239 KBytes
11,5.00-6.00,764 KBytes,6.26 Mbits/sec,0,45.2 KBytes
13,5.00-6.00,764 KBytes,6.26 Mbits/sec,0,42.4 KBytes
7,6.00-7.00,3.75 MBytes,31.5 Mbits/sec,29,11.3 KBytes
9,6.00-7.00,4.47 MBytes,37.5 Mbits/sec,1,9.90 KBytes
11,6.00-7.00,1.49 MBytes,12.5 Mbits/sec,0,9.90 KBytes
13,6.00-7.00,1.68 MBytes,14.1 Mbits/sec,0,9.90 KBytes
7,7.00-8.00,1.25 MBytes,10.5 Mbits/sec,0,19.8 KBytes
9,7.00-8.00,1.12 MBytes,9.38 Mbits/sec,0,43.8 KBytes
11,7.00-8.00,954 KBytes,7.82 Mbits/sec,0,39.6 KBytes
13,7.00-8.00,954 KBytes,7.82 Mbits/sec,0,29.7 KBytes
11,8.00-9.00,764 KBytes,6.26 Mbits/sec,0,52.3 KBytes
13,8.00-9.00,573 KBytes,4.69 Mbits/sec,0,41.0 KBytes
9,9.00-10.00,1.12 MBytes,9.38 Mbits/sec,0,66.5 KBytes
11,9.00-10.00,954 KBytes,7.82 Mbits/sec,0,63.6 KBytes
13,9.00-10.00,764 KBytes,6.26 Mbits/sec,0,50.9 KBytes
7,10.00-11.00,1.25 MBytes,10.5 Mbits/sec,1,39.6 KBytes
9,10.00-11.00,1.12 MBytes,9.38 Mbits/sec,0,80.6 KBytes
11,10.00-11.00,1.12 MBytes,9.38 Mbits/sec,0,77.8 KBytes
13,10.00-11.00,954 KBytes,7.82 Mbits/sec,0,65.0 KBytes
7,11.00-12.00,1.25 MBytes,10.5 Mbits/sec,5,48.1 KBytes
9,11.00-12.00,2.24 MBytes,18.8 Mbits/sec,59,53.7 KBytes
11,11.00-12.00,1.86 MBytes,15.6 Mbits/sec,17,53.7 KBytes
13,11.00-12.00,2.11 MBytes,17.7 Mbits/sec,3,63.6 KBytes
7,12.00-13.00,1.25 MBytes,10.5 Mbits/sec,10,56.6 KBytes
9,12.00-13.00,2.24 MBytes,18.8 Mbits/sec,16,56.6 KBytes
