iteration,start_time,end_time,duration
1,2025-04-29T17:20:40.301469,2025-04-29T17:20:48.367779,8.07
2,2025-04-29T17:20:53.370263,2025-04-29T17:20:59.067768,5.7
3,2025-04-29T17:21:04.068016,2025-04-29T17:21:15.629287,11.56
4,2025-04-29T17:21:20.629498,2025-04-29T17:21:36.720872,16.09
5,2025-04-29T17:21:41.722231,2025-04-29T17:21:51.505101,9.78
6,2025-04-29T17:21:56.510242,2025-04-29T17:22:04.889801,8.38
7,2025-04-29T17:22:09.890505,2025-04-29T17:22:20.785253,10.89
8,2025-04-29T17:22:25.790262,2025-04-29T17:22:36.321800,10.53
9,2025-04-29T17:22:41.327028,2025-04-29T17:22:53.423967,12.1
10,2025-04-29T17:22:58.429572,2025-04-29T17:23:09.557023,11.13
11,2025-04-29T17:23:14.557239,2025-04-29T17:23:19.296267,4.74
12,2025-04-29T17:23:24.296559,2025-04-29T17:23:29.988768,5.69
13,2025-04-29T17:23:34.990268,2025-04-29T17:23:41.976240,6.99
14,2025-04-29T17:23:46.976434,2025-04-29T17:23:59.476496,12.5
15,2025-04-29T17:24:04.478266,2025-04-29T17:24:09.189584,4.71
16,2025-04-29T17:24:14.190626,2025-04-29T17:24:28.087672,13.9
17,2025-04-29T17:24:33.087800,2025-04-29T17:24:42.466881,9.38
18,2025-04-29T17:24:47.467339,2025-04-29T17:24:56.955033,9.49
19,2025-04-29T17:25:01.958285,2025-04-29T17:25:15.886031,13.93
20,2025-04-29T17:25:20.890235,2025-04-29T17:25:26.914676,6.02
