iteration,start_time,end_time,duration
1,2025-04-29T16:38:36.303799,2025-04-29T16:38:44.527460,8.22
2,2025-04-29T16:38:49.532530,2025-04-29T16:38:59.656633,10.12
3,2025-04-29T16:39:04.658298,2025-04-29T16:39:16.881462,12.22
4,2025-04-29T16:39:21.886283,2025-04-29T16:39:34.707798,12.82
5,2025-04-29T16:39:39.712719,2025-04-29T16:39:52.024557,12.31
6,2025-04-29T16:39:57.026247,2025-04-29T16:40:13.421858,16.4
7,2025-04-29T16:40:18.426215,2025-04-29T16:40:30.260928,11.83
8,2025-04-29T16:40:35.262264,2025-04-29T16:40:43.121351,7.86
9,2025-04-29T16:40:48.122743,2025-04-29T16:40:59.430344,11.31
10,2025-04-29T16:41:04.435500,2025-04-29T16:41:15.584402,11.15
11,2025-04-29T16:41:20.585164,2025-04-29T16:41:31.045068,10.46
12,2025-04-29T16:41:36.045373,2025-04-29T16:41:52.885371,16.84
13,2025-04-29T16:41:57.889677,2025-04-29T16:42:12.891552,15.0
14,2025-04-29T16:42:17.891748,2025-04-29T16:42:27.536801,9.65
15,2025-04-29T16:42:32.538349,2025-04-29T16:42:45.716332,13.18
16,2025-04-29T16:42:50.721204,2025-04-29T16:43:02.633958,11.91
17,2025-04-29T16:43:07.639170,2025-04-29T16:43:19.736316,12.1
18,2025-04-29T16:43:24.738271,2025-04-29T16:43:32.163554,7.43
19,2025-04-29T16:43:37.163766,2025-04-29T16:43:47.774145,10.61
20,2025-04-29T16:43:52.778244,2025-04-29T16:44:02.741815,9.96
