iteration,start_time,end_time,duration
1,2025-05-15T14:47:17.132621,2025-05-15T14:47:26.361415,9.23
2,2025-05-15T14:47:31.362509,2025-05-15T14:47:42.366136,11.0
3,2025-05-15T14:47:47.370264,2025-05-15T14:47:58.863845,11.49
4,2025-05-15T14:48:03.868763,2025-05-15T14:48:15.578531,11.71
5,2025-05-15T14:48:20.582192,2025-05-15T14:48:29.330484,8.75
6,2025-05-15T14:48:34.334327,2025-05-15T14:48:45.557561,11.22
7,2025-05-15T14:48:50.558082,2025-05-15T14:49:04.833062,14.27
8,2025-05-15T14:49:09.834021,2025-05-15T14:49:20.276062,10.44
9,2025-05-15T14:49:25.278333,2025-05-15T14:49:37.403713,12.13
10,2025-05-15T14:49:42.403899,2025-05-15T14:49:53.847644,11.44
11,2025-05-15T14:49:58.851495,2025-05-15T14:50:07.156371,8.3
12,2025-05-15T14:50:12.158248,2025-05-15T14:50:23.844445,11.69
13,2025-05-15T14:50:28.844939,2025-05-15T14:50:40.838223,11.99
14,2025-05-15T14:50:45.841248,2025-05-15T14:50:54.918310,9.08
15,2025-05-15T14:50:59.918925,2025-05-15T14:51:16.920962,17.0
16,2025-05-15T14:51:21.921116,2025-05-15T14:51:37.344227,15.42
17,2025-05-15T14:51:42.346244,2025-05-15T14:51:57.214138,14.87
18,2025-05-15T14:52:02.218265,2025-05-15T14:52:15.500958,13.28
19,2025-05-15T14:52:20.502276,2025-05-15T14:52:33.663094,13.16
20,2025-05-15T14:52:38.667689,2025-05-15T14:52:48.977767,10.31
