start_time,end_time,transfer,bandwidth
0.0,1.0,656 KBytes,5.37 Mbits/sec
1.0,2.0,764 KBytes,6.26 Mbits/sec
2.0,3.0,1018 KBytes,8.34 Mbits/sec
3.0,4.0,954 KBytes,7.82 Mbits/sec
4.0,5.0,1.37 MBytes,11.5 Mbits/sec
5.0,6.0,1.24 MBytes,10.4 Mbits/sec
6.0,7.0,1.12 MBytes,9.38 Mbits/sec
7.0,8.0,1.55 MBytes,13.0 Mbits/sec
8.0,9.0,1.55 MBytes,13.0 Mbits/sec
9.0,10.0,1.49 MBytes,12.5 Mbits/sec
10.0,11.0,1.86 MBytes,15.6 Mbits/sec
11.0,12.0,1.99 MBytes,16.7 Mbits/sec
12.0,13.0,2.17 MBytes,18.2 Mbits/sec
13.0,14.0,2.24 MBytes,18.8 Mbits/sec
14.0,14.19,509 KBytes,22.2 Mbits/sec
0.0,14.19,20.4 MBytes,12.1 Mbits/sec
0.0,14.26,19.3 MBytes,11.4 Mbits/sec
