start_time,end_time,transfer,bandwidth
0.0,1.0,718 KBytes,5.88 Mbits/sec
1.0,2.0,1.37 MBytes,11.5 Mbits/sec
2.0,3.0,1.49 MBytes,12.5 Mbits/sec
3.0,4.0,1.49 MBytes,12.5 Mbits/sec
4.0,5.0,1.74 MBytes,14.6 Mbits/sec
5.0,6.0,1.68 MBytes,14.1 Mbits/sec
6.0,7.0,1.74 MBytes,14.6 Mbits/sec
7.0,8.0,1.74 MBytes,14.6 Mbits/sec
8.0,9.0,1.74 MBytes,14.6 Mbits/sec
9.0,10.0,1.74 MBytes,14.6 Mbits/sec
10.0,11.0,1.86 MBytes,15.6 Mbits/sec
11.0,12.0,2.24 MBytes,18.8 Mbits/sec
12.0,12.23,764 KBytes,27.0 Mbits/sec
0.0,12.23,20.3 MBytes,13.9 Mbits/sec
0.0,12.29,19.4 MBytes,13.3 Mbits/sec
