iteration,start_time,end_time,duration
1,2025-04-29T17:34:14.670513,2025-04-29T17:34:24.009283,9.34
2,2025-04-29T17:34:29.009456,2025-04-29T17:34:41.369787,12.36
3,2025-04-29T17:34:46.369998,2025-04-29T17:34:51.541459,5.17
4,2025-04-29T17:34:56.541602,2025-04-29T17:35:06.285057,9.74
5,2025-04-29T17:35:11.286243,2025-04-29T17:35:18.037663,6.75
6,2025-04-29T17:35:23.042245,2025-04-29T17:35:37.388884,14.35
7,2025-04-29T17:35:42.390318,2025-04-29T17:35:46.660281,4.27
8,2025-04-29T17:35:51.662246,2025-04-29T17:35:55.134542,3.47
9,2025-04-29T17:36:00.138249,2025-04-29T17:36:06.422351,6.28
10,2025-04-29T17:36:11.426273,2025-04-29T17:36:23.026936,11.6
11,2025-04-29T17:36:28.027278,2025-04-29T17:36:32.842365,4.82
12,2025-04-29T17:36:37.846423,2025-04-29T17:36:44.464906,6.62
13,2025-04-29T17:36:49.468271,2025-04-29T17:37:00.050380,10.58
14,2025-04-29T17:37:05.054308,2025-04-29T17:37:14.758684,9.7
15,2025-04-29T17:37:19.762240,2025-04-29T17:37:30.848125,11.09
16,2025-04-29T17:37:35.853006,2025-04-29T17:37:43.967268,8.11
17,2025-04-29T17:37:48.972353,2025-04-29T17:37:58.864752,9.89
18,2025-04-29T17:38:03.866255,2025-04-29T17:38:07.813875,3.95
19,2025-04-29T17:38:12.814191,2025-04-29T17:38:23.565644,10.75
20,2025-04-29T17:38:28.570251,2025-04-29T17:38:38.376285,9.81
