start_time,end_time,transfer,bandwidth
0.0,1.0,1.44 MBytes,12.1 Mbits/sec
1.0,2.0,2.36 MBytes,19.8 Mbits/sec
2.0,3.0,2.49 MBytes,20.9 Mbits/sec
3.0,4.0,2.24 MBytes,18.8 Mbits/sec
4.0,5.0,1.93 MBytes,16.2 Mbits/sec
5.0,6.0,2.05 MBytes,17.2 Mbits/sec
6.0,7.0,2.05 MBytes,17.2 Mbits/sec
7.0,8.0,2.05 MBytes,17.2 Mbits/sec
8.0,9.0,1.49 MBytes,12.5 Mbits/sec
9.0,10.0,1.68 MBytes,14.1 Mbits/sec
10.0,10.17,382 KBytes,18.3 Mbits/sec
0.0,10.17,20.1 MBytes,16.6 Mbits/sec
0.0,10.2,19.8 MBytes,16.3 Mbits/sec
