ID,Interval,Transfer,Bitrate,Retr,Cwnd
7,0.00-1.00,7.14 MBytes,59.8 Mbits/sec,512,495 KBytes
9,0.00-1.00,8.31 MBytes,69.6 Mbits/sec,577,308 KBytes
11,0.00-1.00,6.07 MBytes,50.9 Mbits/sec,193,199 KBytes
13,0.00-1.00,6.07 MBytes,50.9 Mbits/sec,252,198 KBytes
7,1.00-2.00,2.50 MBytes,21.0 Mbits/sec,29,52.3 KBytes
9,1.00-2.00,3.75 MBytes,31.5 Mbits/sec,75,33.9 KBytes
11,1.00-2.00,2.50 MBytes,21.0 Mbits/sec,43,66.5 KBytes
13,1.00-2.00,1.25 MBytes,10.5 Mbits/sec,24,50.9 KBytes
7,2.00-3.00,1.25 MBytes,10.5 Mbits/sec,0,83.4 KBytes
9,2.00-3.00,1.25 MBytes,10.5 Mbits/sec,0,65.0 KBytes
11,2.00-3.00,1.25 MBytes,10.5 Mbits/sec,0,99.0 KBytes
13,2.00-3.00,1.25 MBytes,10.5 Mbits/sec,0,82.0 KBytes
7,3.00-4.00,2.50 MBytes,21.0 Mbits/sec,0,117 KBytes
9,3.00-4.00,1.25 MBytes,10.5 Mbits/sec,0,100 KBytes
11,3.00-4.00,2.50 MBytes,21.0 Mbits/sec,0,133 KBytes
13,3.00-4.00,2.50 MBytes,21.0 Mbits/sec,0,116 KBytes
7,4.00-5.00,2.50 MBytes,21.0 Mbits/sec,72,9.90 KBytes
9,4.00-5.00,2.50 MBytes,21.0 Mbits/sec,30,19.8 KBytes
11,4.00-5.00,2.50 MBytes,21.0 Mbits/sec,83,22.6 KBytes
13,4.00-5.00,2.50 MBytes,21.0 Mbits/sec,78,19.8 KBytes
7,5.00-6.00,2.50 MBytes,21.0 Mbits/sec,16,36.8 KBytes
9,5.00-6.00,1.25 MBytes,10.5 Mbits/sec,30,36.8 KBytes
11,5.00-6.00,2.50 MBytes,21.0 Mbits/sec,14,39.6 KBytes
13,5.00-6.00,2.50 MBytes,21.0 Mbits/sec,13,36.8 KBytes
7,6.00-7.00,2.50 MBytes,21.0 Mbits/sec,2,32.5 KBytes
9,6.00-7.00,3.75 MBytes,31.5 Mbits/sec,0,89.1 KBytes
11,6.00-7.00,2.50 MBytes,21.0 Mbits/sec,9,56.6 KBytes
13,6.00-7.00,2.50 MBytes,21.0 Mbits/sec,0,91.9 KBytes
7,7.00-8.00,1.25 MBytes,10.5 Mbits/sec,31,62.2 KBytes
9,7.00-8.00,1.25 MBytes,10.5 Mbits/sec,58,58.0 KBytes
11,7.00-8.00,1.25 MBytes,10.5 Mbits/sec,32,59.4 KBytes
13,7.00-8.00,2.50 MBytes,21.0 Mbits/sec,36,62.2 KBytes
7,8.00-9.00,3.75 MBytes,31.5 Mbits/sec,40,60.8 KBytes
9,8.00-9.00,1.25 MBytes,10.5 Mbits/sec,38,39.6 KBytes
11,8.00-9.00,2.50 MBytes,21.0 Mbits/sec,51,58.0 KBytes
13,8.00-9.00,1.25 MBytes,10.5 Mbits/sec,64,28.3 KBytes
7,9.00-10.00,2.50 MBytes,21.0 Mbits/sec,0,102 KBytes
9,9.00-10.00,2.50 MBytes,21.0 Mbits/sec,0,79.2 KBytes
11,9.00-10.00,2.50 MBytes,21.0 Mbits/sec,0,91.9 KBytes
13,9.00-10.00,1.25 MBytes,10.5 Mbits/sec,36,32.5 KBytes
7,10.00-11.00,1.25 MBytes,10.5 Mbits/sec,0,130 KBytes
9,10.00-11.00,2.50 MBytes,21.0 Mbits/sec,0,93.3 KBytes
11,10.00-11.00,2.50 MBytes,21.0 Mbits/sec,0,115 KBytes
13,10.00-11.00,1.25 MBytes,10.5 Mbits/sec,0,46.7 KBytes
7,11.00-12.00,2.50 MBytes,21.0 Mbits/sec,0,156 KBytes
9,11.00-12.00,1.25 MBytes,10.5 Mbits/sec,0,115 KBytes
11,11.00-12.00,2.50 MBytes,21.0 Mbits/sec,0,134 KBytes
13,11.00-12.00,1.25 MBytes,10.5 Mbits/sec,0,77.8 KBytes
7,12.00-13.00,2.50 MBytes,21.0 Mbits/sec,0,174 KBytes
9,12.00-13.00,1.25 MBytes,10.5 Mbits/sec,50,65.0 KBytes
11,12.00-13.00,1.25 MBytes,10.5 Mbits/sec,17,76.4 KBytes
13,12.00-13.00,1.25 MBytes,10.5 Mbits/sec,35,46.7 KBytes
7,13.00-14.00,2.50 MBytes,21.0 Mbits/sec,0,194 KBytes
9,13.00-14.00,1.25 MBytes,10.5 Mbits/sec,0,86.3 KBytes
11,13.00-14.00,1.25 MBytes,10.5 Mbits/sec,0,96.2 KBytes
7,14.00-15.00,2.50 MBytes,21.0 Mbits/sec,0,212 KBytes
9,14.00-15.00,1.25 MBytes,10.5 Mbits/sec,0,103 KBytes
11,14.00-15.00,1.25 MBytes,10.5 Mbits/sec,0,115 KBytes
13,14.00-15.00,1.25 MBytes,10.5 Mbits/sec,0,84.8 KBytes
7,15.00-16.00,2.50 MBytes,21.0 Mbits/sec,0,225 KBytes
11,15.00-16.00,1.25 MBytes,10.5 Mbits/sec,0,127 KBytes
13,15.00-16.00,1.25 MBytes,10.5 Mbits/sec,20,52.3 KBytes
7,16.00-17.00,3.75 MBytes,31.5 Mbits/sec,43,28.3 KBytes
9,16.00-17.00,1.25 MBytes,10.5 Mbits/sec,25,41.0 KBytes
11,16.00-17.00,1.25 MBytes,10.5 Mbits/sec,52,41.0 KBytes
7,17.00-18.00,1.25 MBytes,10.5 Mbits/sec,0,66.5 KBytes
9,17.00-18.00,2.50 MBytes,21.0 Mbits/sec,0,76.4 KBytes
11,17.00-18.00,1.25 MBytes,10.5 Mbits/sec,0,79.2 KBytes
13,17.00-18.00,2.50 MBytes,21.0 Mbits/sec,0,72.1 KBytes
7,18.00-19.00,1.25 MBytes,10.5 Mbits/sec,22,28.3 KBytes
9,18.00-19.00,1.25 MBytes,10.5 Mbits/sec,12,28.3 KBytes
11,18.00-19.00,2.50 MBytes,21.0 Mbits/sec,39,32.5 KBytes
13,18.00-19.00,1.25 MBytes,10.5 Mbits/sec,18,28.3 KBytes
7,19.00-20.00,2.50 MBytes,21.0 Mbits/sec,0,91.9 KBytes
9,19.00-20.00,1.25 MBytes,10.5 Mbits/sec,21,62.2 KBytes
11,19.00-20.00,2.50 MBytes,21.0 Mbits/sec,10,69.3 KBytes
13,19.00-20.00,1.25 MBytes,10.5 Mbits/sec,11,38.2 KBytes
7,20.00-21.00,2.50 MBytes,21.0 Mbits/sec,12,22.6 KBytes
9,20.00-21.00,3.75 MBytes,31.5 Mbits/sec,0,25.5 KBytes
11,20.00-21.00,1.25 MBytes,10.5 Mbits/sec,10,21.2 KBytes
13,20.00-21.00,1.25 MBytes,10.5 Mbits/sec,0,29.7 KBytes
7,21.00-22.00,2.50 MBytes,21.0 Mbits/sec,7,33.9 KBytes
9,21.00-22.00,1.25 MBytes,10.5 Mbits/sec,12,38.2 KBytes
11,21.00-22.00,2.50 MBytes,21.0 Mbits/sec,4,45.2 KBytes
13,21.00-22.00,2.50 MBytes,21.0 Mbits/sec,2,31.1 KBytes
7,22.00-23.00,1.25 MBytes,10.5 Mbits/sec,10,60.8 KBytes
9,22.00-23.00,1.25 MBytes,10.5 Mbits/sec,2,65.0 KBytes
11,22.00-23.00,1.25 MBytes,10.5 Mbits/sec,1,67.9 KBytes
13,22.00-23.00,1.25 MBytes,10.5 Mbits/sec,0,76.4 KBytes
7,23.00-24.00,1.25 MBytes,10.5 Mbits/sec,0,89.1 KBytes
9,23.00-24.00,2.50 MBytes,21.0 Mbits/sec,0,93.3 KBytes
11,23.00-24.00,2.50 MBytes,21.0 Mbits/sec,0,97.6 KBytes
13,23.00-24.00,2.50 MBytes,21.0 Mbits/sec,0,107 KBytes
7,24.00-25.00,1.25 MBytes,10.5 Mbits/sec,4,58.0 KBytes
9,24.00-25.00,1.25 MBytes,10.5 Mbits/sec,0,112 KBytes
11,24.00-25.00,1.25 MBytes,10.5 Mbits/sec,5,56.6 KBytes
13,24.00-25.00,1.25 MBytes,10.5 Mbits/sec,71,35.4 KBytes
7,25.00-26.00,2.50 MBytes,21.0 Mbits/sec,0,90.5 KBytes
9,25.00-26.00,2.50 MBytes,21.0 Mbits/sec,5,74.9 KBytes
11,25.00-26.00,1.25 MBytes,10.5 Mbits/sec,0,84.8 KBytes
13,25.00-26.00,1.25 MBytes,10.5 Mbits/sec,0,66.5 KBytes
9,26.00-27.00,1.25 MBytes,10.5 Mbits/sec,0,91.9 KBytes
11,26.00-27.00,1.25 MBytes,10.5 Mbits/sec,0,102 KBytes
13,26.00-27.00,1.25 MBytes,10.5 Mbits/sec,0,91.9 KBytes
7,27.00-28.00,1.25 MBytes,10.5 Mbits/sec,0,76.4 KBytes
9,27.00-28.00,1.25 MBytes,10.5 Mbits/sec,0,107 KBytes
11,27.00-28.00,2.50 MBytes,21.0 Mbits/sec,17,56.6 KBytes
13,27.00-28.00,1.25 MBytes,10.5 Mbits/sec,0,107 KBytes
7,28.00-29.00,1.25 MBytes,10.5 Mbits/sec,0,97.6 KBytes
9,28.00-29.00,2.50 MBytes,21.0 Mbits/sec,0,130 KBytes
13,28.00-29.00,1.25 MBytes,10.5 Mbits/sec,0,130 KBytes
7,29.00-30.00,1.25 MBytes,10.5 Mbits/sec,0,115 KBytes
9,29.00-30.00,1.25 MBytes,10.5 Mbits/sec,0,148 KBytes
11,29.00-30.00,1.25 MBytes,10.5 Mbits/sec,0,91.9 KBytes
13,29.00-30.00,2.50 MBytes,21.0 Mbits/sec,0,146 KBytes
7,30.00-31.00,2.50 MBytes,21.0 Mbits/sec,14,63.6 KBytes
9,30.00-31.00,2.50 MBytes,21.0 Mbits/sec,4,74.9 KBytes
11,30.00-31.00,1.25 MBytes,10.5 Mbits/sec,23,53.7 KBytes
13,30.00-31.00,1.25 MBytes,10.5 Mbits/sec,5,83.4 KBytes
9,31.00-32.00,1.25 MBytes,10.5 Mbits/sec,34,35.4 KBytes
11,31.00-32.00,1.25 MBytes,10.5 Mbits/sec,16,35.4 KBytes
13,31.00-32.00,2.50 MBytes,21.0 Mbits/sec,29,43.8 KBytes
7,32.00-33.00,1.25 MBytes,10.5 Mbits/sec,0,58.0 KBytes
9,32.00-33.00,1.25 MBytes,10.5 Mbits/sec,0,72.1 KBytes
11,32.00-33.00,1.25 MBytes,10.5 Mbits/sec,6,52.3 KBytes
13,32.00-33.00,1.25 MBytes,10.5 Mbits/sec,4,55.1 KBytes
7,33.00-34.00,2.50 MBytes,21.0 Mbits/sec,0,84.8 KBytes
9,33.00-34.00,1.25 MBytes,10.5 Mbits/sec,0,99.0 KBytes
11,33.00-34.00,1.25 MBytes,10.5 Mbits/sec,0,83.4 KBytes
13,33.00-34.00,1.25 MBytes,10.5 Mbits/sec,0,80.6 KBytes
9,34.00-35.00,2.50 MBytes,21.0 Mbits/sec,24,21.2 KBytes
11,34.00-35.00,2.50 MBytes,21.0 Mbits/sec,12,60.8 KBytes
13,34.00-35.00,1.25 MBytes,10.5 Mbits/sec,42,15.6 KBytes
7,35.00-36.00,1.25 MBytes,10.5 Mbits/sec,7,28.3 KBytes
9,35.00-36.00,1.25 MBytes,10.5 Mbits/sec,8,28.3 KBytes
11,35.00-36.00,2.50 MBytes,21.0 Mbits/sec,0,102 KBytes
13,35.00-36.00,1.25 MBytes,10.5 Mbits/sec,0,53.7 KBytes
7,36.00-37.00,2.50 MBytes,21.0 Mbits/sec,7,67.9 KBytes
9,36.00-37.00,1.25 MBytes,10.5 Mbits/sec,6,67.9 KBytes
11,36.00-37.00,2.50 MBytes,21.0 Mbits/sec,30,72.1 KBytes
13,36.00-37.00,2.50 MBytes,21.0 Mbits/sec,17,76.4 KBytes
7,37.00-38.00,2.50 MBytes,21.0 Mbits/sec,0,105 KBytes
9,37.00-38.00,2.50 MBytes,21.0 Mbits/sec,0,109 KBytes
11,37.00-38.00,2.50 MBytes,21.0 Mbits/sec,0,110 KBytes
13,37.00-38.00,2.50 MBytes,21.0 Mbits/sec,0,115 KBytes
7,38.00-39.00,1.25 MBytes,10.5 Mbits/sec,29,58.0 KBytes
9,38.00-39.00,2.50 MBytes,21.0 Mbits/sec,11,50.9 KBytes
11,38.00-39.00,2.50 MBytes,21.0 Mbits/sec,25,50.9 KBytes
13,38.00-39.00,2.50 MBytes,21.0 Mbits/sec,37,50.9 KBytes
7,39.00-40.00,2.50 MBytes,21.0 Mbits/sec,62,31.1 KBytes
9,39.00-40.00,2.50 MBytes,21.0 Mbits/sec,10,32.5 KBytes
11,39.00-40.00,1.25 MBytes,10.5 Mbits/sec,39,52.3 KBytes
13,39.00-40.00,1.25 MBytes,10.5 Mbits/sec,30,17.0 KBytes
7,40.00-41.00,1.25 MBytes,10.5 Mbits/sec,1,48.1 KBytes
9,40.00-41.00,1.25 MBytes,10.5 Mbits/sec,0,79.2 KBytes
11,40.00-41.00,1.25 MBytes,10.5 Mbits/sec,4,56.6 KBytes
13,40.00-41.00,1.25 MBytes,10.5 Mbits/sec,0,62.2 KBytes
7,41.00-42.00,1.25 MBytes,10.5 Mbits/sec,0,77.8 KBytes
9,41.00-42.00,1.25 MBytes,10.5 Mbits/sec,0,109 KBytes
11,41.00-42.00,1.25 MBytes,10.5 Mbits/sec,0,86.3 KBytes
13,41.00-42.00,2.50 MBytes,21.0 Mbits/sec,0,90.5 KBytes
7,42.00-43.00,1.25 MBytes,10.5 Mbits/sec,0,102 KBytes
9,42.00-43.00,2.50 MBytes,21.0 Mbits/sec,0,132 KBytes
11,42.00-43.00,2.50 MBytes,21.0 Mbits/sec,0,110 KBytes
13,42.00-43.00,1.25 MBytes,10.5 Mbits/sec,0,113 KBytes
7,43.00-44.00,1.25 MBytes,10.5 Mbits/sec,0,120 KBytes
9,43.00-44.00,1.25 MBytes,10.5 Mbits/sec,0,150 KBytes
11,43.00-44.00,1.25 MBytes,10.5 Mbits/sec,0,127 KBytes
13,43.00-44.00,1.25 MBytes,10.5 Mbits/sec,0,132 KBytes
7,44.00-45.00,1.25 MBytes,10.5 Mbits/sec,0,133 KBytes
9,44.00-45.00,2.50 MBytes,21.0 Mbits/sec,0,164 KBytes
11,44.00-45.00,1.25 MBytes,10.5 Mbits/sec,0,141 KBytes
13,44.00-45.00,1.25 MBytes,10.5 Mbits/sec,0,147 KBytes
7,45.00-46.00,2.50 MBytes,21.0 Mbits/sec,41,21.2 KBytes
9,45.00-46.00,1.25 MBytes,10.5 Mbits/sec,93,28.3 KBytes
11,45.00-46.00,1.25 MBytes,10.5 Mbits/sec,31,24.0 KBytes
13,45.00-46.00,1.25 MBytes,10.5 Mbits/sec,29,1.41 KBytes
7,46.00-47.00,1.25 MBytes,10.5 Mbits/sec,2,48.1 KBytes
9,46.00-47.00,1.25 MBytes,10.5 Mbits/sec,14,46.7 KBytes
11,46.00-47.00,1.25 MBytes,10.5 Mbits/sec,4,38.2 KBytes
13,46.00-47.00,1.25 MBytes,10.5 Mbits/sec,48,38.2 KBytes
7,47.00-48.00,1.25 MBytes,10.5 Mbits/sec,0,83.4 KBytes
9,47.00-48.00,1.25 MBytes,10.5 Mbits/sec,0,82.0 KBytes
11,47.00-48.00,1.25 MBytes,10.5 Mbits/sec,0,73.5 KBytes
13,47.00-48.00,1.25 MBytes,10.5 Mbits/sec,0,72.1 KBytes
7,48.00-49.00,2.50 MBytes,21.0 Mbits/sec,0,109 KBytes
9,48.00-49.00,2.50 MBytes,21.0 Mbits/sec,0,106 KBytes
11,48.00-49.00,2.50 MBytes,21.0 Mbits/sec,0,99.0 KBytes
13,48.00-49.00,1.25 MBytes,10.5 Mbits/sec,8,52.3 KBytes
7,49.00-50.00,1.25 MBytes,10.5 Mbits/sec,24,76.4 KBytes
9,49.00-50.00,1.25 MBytes,10.5 Mbits/sec,33,36.8 KBytes
11,49.00-50.00,1.25 MBytes,10.5 Mbits/sec,10,35.4 KBytes
13,49.00-50.00,1.25 MBytes,10.5 Mbits/sec,39,39.6 KBytes
7,50.00-51.00,2.50 MBytes,21.0 Mbits/sec,5,52.3 KBytes
9,50.00-51.00,1.25 MBytes,10.5 Mbits/sec,27,9.90 KBytes
11,50.00-51.00,1.25 MBytes,10.5 Mbits/sec,19,19.8 KBytes
13,50.00-51.00,1.25 MBytes,10.5 Mbits/sec,47,22.6 KBytes
7,51.00-52.00,2.50 MBytes,21.0 Mbits/sec,0,100 KBytes
9,51.00-52.00,1.25 MBytes,10.5 Mbits/sec,0,56.6 KBytes
11,51.00-52.00,1.25 MBytes,10.5 Mbits/sec,0,66.5 KBytes
13,51.00-52.00,1.25 MBytes,10.5 Mbits/sec,0,69.3 KBytes
7,52.00-53.00,1.25 MBytes,10.5 Mbits/sec,13,62.2 KBytes
9,52.00-53.00,1.25 MBytes,10.5 Mbits/sec,0,84.8 KBytes
11,52.00-53.00,1.25 MBytes,10.5 Mbits/sec,0,94.7 KBytes
13,52.00-53.00,1.25 MBytes,10.5 Mbits/sec,0,97.6 KBytes
7,53.00-54.00,2.50 MBytes,21.0 Mbits/sec,0,87.7 KBytes
9,53.00-54.00,1.25 MBytes,10.5 Mbits/sec,0,112 KBytes
11,53.00-54.00,2.50 MBytes,21.0 Mbits/sec,0,120 KBytes
13,53.00-54.00,2.50 MBytes,21.0 Mbits/sec,0,124 KBytes
7,54.00-55.00,1.25 MBytes,10.5 Mbits/sec,0,99.0 KBytes
9,54.00-55.00,2.50 MBytes,21.0 Mbits/sec,0,126 KBytes
11,54.00-55.00,1.25 MBytes,10.5 Mbits/sec,19,67.9 KBytes
13,54.00-55.00,2.50 MBytes,21.0 Mbits/sec,0,140 KBytes
7,55.00-56.00,2.50 MBytes,21.0 Mbits/sec,0,124 KBytes
9,55.00-56.00,1.25 MBytes,10.5 Mbits/sec,4,77.8 KBytes
11,55.00-56.00,1.25 MBytes,10.5 Mbits/sec,8,28.3 KBytes
13,55.00-56.00,1.25 MBytes,10.5 Mbits/sec,2,87.7 KBytes
7,56.00-57.00,2.50 MBytes,21.0 Mbits/sec,0,150 KBytes
9,56.00-57.00,2.50 MBytes,21.0 Mbits/sec,0,109 KBytes
11,56.00-57.00,1.25 MBytes,10.5 Mbits/sec,0,58.0 KBytes
13,56.00-57.00,2.50 MBytes,21.0 Mbits/sec,0,119 KBytes
7,57.00-58.00,2.50 MBytes,21.0 Mbits/sec,0,175 KBytes
9,57.00-58.00,1.25 MBytes,10.5 Mbits/sec,16,72.1 KBytes
13,57.00-58.00,2.50 MBytes,21.0 Mbits/sec,0,143 KBytes
7,58.00-59.00,2.50 MBytes,21.0 Mbits/sec,31,41.0 KBytes
9,58.00-59.00,1.25 MBytes,10.5 Mbits/sec,12,8.48 KBytes
11,58.00-59.00,2.50 MBytes,21.0 Mbits/sec,16,8.48 KBytes
13,58.00-59.00,2.50 MBytes,21.0 Mbits/sec,53,17.0 KBytes
7,59.00-60.00,1.25 MBytes,10.5 Mbits/sec,0,72.1 KBytes
9,59.00-60.00,1.25 MBytes,10.5 Mbits/sec,0,62.2 KBytes
11,59.00-60.00,1.25 MBytes,10.5 Mbits/sec,0,60.8 KBytes
13,59.00-60.00,1.25 MBytes,10.5 Mbits/sec,0,63.6 KBytes
7,60.00-61.00,2.50 MBytes,21.0 Mbits/sec,0,103 KBytes
9,60.00-61.00,1.25 MBytes,10.5 Mbits/sec,0,91.9 KBytes
11,60.00-61.00,1.25 MBytes,10.5 Mbits/sec,0,90.5 KBytes
13,60.00-61.00,1.25 MBytes,10.5 Mbits/sec,0,94.7 KBytes
