iteration,start_time,end_time,duration
1,2025-05-15T14:24:13.562309,2025-05-15T14:24:23.054344,9.49
2,2025-05-15T14:24:28.054804,2025-05-15T14:24:41.318708,13.26
3,2025-05-15T14:24:46.322293,2025-05-15T14:24:59.887823,13.57
4,2025-05-15T14:25:04.892605,2025-05-15T14:25:19.244386,14.35
5,2025-05-15T14:25:24.248987,2025-05-15T14:25:33.700418,9.45
6,2025-05-15T14:25:38.702797,2025-05-15T14:25:48.823943,10.12
7,2025-05-15T14:25:53.828666,2025-05-15T14:26:04.624109,10.8
8,2025-05-15T14:26:09.626856,2025-05-15T14:26:22.360439,12.73
9,2025-05-15T14:26:27.362263,2025-05-15T14:26:42.295365,14.93
10,2025-05-15T14:26:47.298250,2025-05-15T14:27:02.728948,15.43
11,2025-05-15T14:27:07.730241,2025-05-15T14:27:20.315187,12.58
12,2025-05-15T14:27:25.318031,2025-05-15T14:27:38.299182,12.98
13,2025-05-15T14:27:43.302249,2025-05-15T14:27:55.143973,11.84
14,2025-05-15T14:28:00.146249,2025-05-15T14:28:13.228836,13.08
15,2025-05-15T14:28:18.229010,2025-05-15T14:28:31.795083,13.57
16,2025-05-15T14:28:36.795406,2025-05-15T14:28:52.483874,15.69
17,2025-05-15T14:28:57.486260,2025-05-15T14:29:09.905046,12.42
18,2025-05-15T14:29:14.906257,2025-05-15T14:29:22.995009,8.09
19,2025-05-15T14:29:27.999174,2025-05-15T14:29:40.887478,12.89
20,2025-05-15T14:29:45.890270,2025-05-15T14:29:57.304062,11.41
