start_time,end_time,transfer,bandwidth
0.0,1.0,1.73 MBytes,14.5 Mbits/sec
1.0,2.0,1.86 MBytes,15.6 Mbits/sec
2.0,3.0,1.86 MBytes,15.6 Mbits/sec
3.0,4.0,2.17 MBytes,18.2 Mbits/sec
4.0,5.0,1.86 MBytes,15.6 Mbits/sec
5.0,6.0,1.68 MBytes,14.1 Mbits/sec
6.0,7.0,1.43 MBytes,12.0 Mbits/sec
7.0,8.0,1.43 MBytes,12.0 Mbits/sec
8.0,9.0,1.30 MBytes,10.9 Mbits/sec
9.0,10.0,1.37 MBytes,11.5 Mbits/sec
10.0,11.0,1.80 MBytes,15.1 Mbits/sec
11.0,11.85,1.74 MBytes,17.2 Mbits/sec
0.0,11.85,20.2 MBytes,14.3 Mbits/sec
0.0,11.88,19.5 MBytes,13.7 Mbits/sec
